userid,churn,age,rent_or_own,trivia_played,trivia_shared_results,trivia_view_unlocked,trivia_view_results,cards_share,cards_viewed,cards_helpful,cards_not_helpful,cards_clicked,has_used_mobile,has_used_web,used_android,used_ios,more_than_one_mobile_device,payfreq,loan_pending,withdrawn_application,paid_off_loan,did_not_accept_funding,zodiac_sign,un_linked_account,re_linked_account,cash_back_engagement,has_referred
91,1,28.0,R,0,0,0,0,0,150,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.33,0
93,1,28.0,R,0,0,4,0,0,71,0,0,3,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,0.73,0
100,1,25.0,O,3,2,25,3,0,21,0,0,2,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.2,1
101,1,27.0,R,11,5,28,11,0,71,0,0,19,1,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.5700000000000001,0
103,1,29.0,na,0,0,9,0,0,14,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.2,0
108,1,33.0,R,1,0,81,1,0,225,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1.83,0
111,1,51.0,R,0,0,0,0,0,2,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Libra,1,0,0.06999999999999999,1
114,1,28.0,na,0,0,64,0,0,229,0,0,3,1,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,2.0,0
125,1,24.0,R,0,0,0,0,0,164,0,0,16,1,1,0,1,0,Semi-Monthly,0,0,1,0,Scorpio,0,0,1.83,0
130,1,51.0,O,0,0,0,0,4,194,0,0,21,1,1,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,1,2.0,0
135,1,48.0,R,3,2,39,3,0,207,0,0,39,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,1.5699999999999998,1
136,1,42.0,R,0,0,22,0,0,232,0,0,3,1,0,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.8,1
137,1,36.0,R,1,0,159,1,0,299,0,0,1,1,1,1,0,0,Weekly,0,0,1,0,na,1,0,2.03,1
141,1,31.0,R,9,1,24,8,0,44,0,0,10,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,0.79,1
146,1,27.0,R,0,0,0,0,0,30,0,0,2,1,1,1,0,0,Semi-Monthly,0,1,0,0,Cancer,0,0,0.47,0
150,1,49.0,na,0,0,1,0,0,6,0,0,0,1,0,0,1,0,Weekly,0,0,0,0,Virgo,0,0,0.0,0
152,1,58.0,na,0,0,0,0,3,228,0,0,53,1,1,0,1,0,Weekly,0,0,0,0,Virgo,0,0,1.63,1
153,1,26.0,R,1,0,35,1,0,98,0,0,6,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,0.8,0
160,1,34.0,na,0,0,41,0,0,78,0,0,8,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.8,1
164,1,26.0,na,0,0,68,0,0,142,0,0,5,1,1,1,0,0,Semi-Monthly,0,0,0,0,Aries,0,0,1.2,1
167,1,20.0,na,0,0,0,0,0,8,0,0,1,1,0,1,0,0,Monthly,0,0,0,0,Cancer,0,0,0.0,0
174,1,26.0,R,0,0,0,0,0,165,0,0,8,1,0,0,1,3,na,0,0,0,0,na,0,0,1.83,0
175,1,31.0,na,0,0,16,0,0,87,0,0,17,1,1,0,1,0,Weekly,0,0,1,0,Libra,0,0,0.47,0
178,1,22.0,na,0,0,21,0,0,33,0,0,0,1,0,0,1,3,Bi-Weekly,0,0,0,0,Virgo,0,0,0.4,0
185,1,31.0,R,0,0,44,0,0,128,0,0,4,1,0,0,1,0,na,0,0,0,0,Cancer,0,0,0.8,0
186,1,33.0,R,1,0,133,1,0,180,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.6,0
189,1,20.0,na,0,0,26,0,0,50,0,0,0,1,0,0,1,0,na,0,0,0,0,Taurus,0,0,0.5,0
197,1,41.0,R,0,0,0,0,3,230,1,0,34,1,1,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,2.23,0
200,1,33.0,R,20,0,47,20,0,159,0,0,18,1,1,0,1,0,na,0,0,0,0,Cancer,0,0,1.1,0
202,1,37.0,R,0,0,0,0,0,204,0,0,16,1,0,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,2.17,0
205,1,55.0,O,0,0,0,0,0,147,0,0,20,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,1.93,0
207,1,40.0,R,0,0,0,0,0,102,0,0,5,1,1,1,0,0,Weekly,0,0,0,0,Aries,0,0,1.37,0
208,1,34.0,R,14,1,84,14,0,258,0,0,35,1,0,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,2.0,1
219,1,39.0,R,12,1,82,11,0,254,0,0,24,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,2.03,0
231,1,33.0,na,0,0,44,0,0,94,0,0,1,1,0,1,0,0,Weekly,0,0,0,0,Libra,1,0,0.43,0
233,1,47.0,R,38,0,42,37,0,184,0,0,27,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.4300000000000002,0
242,1,22.0,na,1,0,30,1,0,64,0,0,8,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.87,1
243,1,20.0,na,2,0,24,2,0,65,0,0,3,1,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,1.46,1
244,1,31.0,na,0,0,0,0,0,45,0,0,5,1,1,0,1,0,na,0,0,0,0,Virgo,0,0,0.06999999999999999,0
246,1,25.0,na,0,0,0,0,0,261,0,0,4,1,0,0,1,2,na,0,0,0,0,Virgo,0,0,2.17,1
251,1,45.0,na,0,0,3,0,0,5,0,0,0,1,1,1,0,0,Weekly,0,0,0,0,Gemini,0,0,0.0,0
252,1,22.0,na,0,0,0,0,0,160,0,0,13,1,1,1,1,2,Weekly,0,0,0,0,Pisces,0,0,1.67,0
253,1,28.0,R,1,0,57,1,0,124,0,0,2,1,0,1,0,0,Monthly,0,0,0,0,Scorpio,0,0,0.87,0
259,1,24.0,na,0,0,0,0,0,145,1,0,19,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,1.7,0
261,1,23.0,na,0,0,0,0,0,70,0,0,8,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.33,0
264,1,28.0,R,0,0,0,0,0,257,0,0,32,1,1,1,0,2,Semi-Monthly,0,0,1,0,Sagittarius,1,0,2.43,1
266,1,23.0,R,0,0,0,0,0,39,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.5700000000000001,0
269,1,27.0,R,21,0,37,21,0,143,0,0,10,1,1,1,0,0,na,0,0,0,0,Leo,0,0,0.83,0
270,1,31.0,na,0,0,24,0,0,40,0,0,4,1,1,1,0,2,Weekly,0,0,0,0,Gemini,0,0,0.73,1
272,1,33.0,R,0,0,142,0,0,208,0,0,8,1,1,0,1,3,Bi-Weekly,0,0,0,0,Aries,0,0,0.53,1
282,1,27.0,O,0,0,0,0,0,157,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,1,2.23,0
294,1,27.0,na,0,0,1,0,0,13,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,0.03,0
297,1,29.0,na,2,2,0,2,0,35,0,0,2,1,1,0,1,0,Weekly,0,0,0,0,Aries,0,0,0.4,0
301,1,21.0,R,0,0,0,0,0,231,1,0,9,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,2.23,0
303,1,24.0,R,1,0,64,1,0,170,0,0,19,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.17,1
310,1,20.0,na,0,0,2,0,0,0,0,0,0,1,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,0.06999999999999999,0
312,1,25.0,R,0,0,0,0,0,170,0,0,32,1,1,1,0,2,Monthly,0,0,0,0,Gemini,0,0,2.03,0
315,1,21.0,R,0,0,0,0,0,141,1,1,13,1,1,0,1,2,Bi-Weekly,0,0,0,0,Leo,0,0,1.73,0
321,1,35.0,R,2,0,0,2,1,153,0,0,6,1,1,1,0,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,1.63,0
329,1,38.0,R,0,0,0,0,0,164,0,0,7,1,0,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,2.1,0
331,1,37.0,na,6,0,1,6,0,164,0,0,4,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,2.0,0
336,1,36.0,na,0,0,0,0,0,97,0,0,10,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.6,0
341,1,44.0,R,0,0,0,0,1,174,0,0,6,1,1,1,0,2,na,0,0,0,0,Gemini,0,0,2.1,0
343,1,38.0,O,0,0,0,0,2,153,0,0,19,1,1,1,0,2,Bi-Weekly,0,0,0,0,Cancer,0,0,2.1,1
345,1,38.0,R,0,0,0,0,0,281,0,0,14,1,1,1,0,2,na,0,0,0,0,Cancer,0,0,2.3,0
346,1,27.0,R,0,0,1,0,0,140,0,0,1,1,0,0,1,2,Bi-Weekly,0,0,0,0,Pisces,1,0,1.4300000000000002,0
347,1,31.0,R,12,0,63,12,0,104,0,0,7,1,0,0,1,2,na,0,0,0,0,Capricorn,0,0,0.8,0
348,1,26.0,O,0,0,0,0,1,189,0,0,8,1,1,0,1,0,Semi-Monthly,0,0,0,0,Virgo,0,0,1.9,0
349,1,31.0,R,0,0,0,0,0,176,0,0,8,1,0,1,0,2,Bi-Weekly,0,0,0,0,na,1,0,1.33,0
353,1,32.0,R,1,0,15,0,0,17,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.23,0
356,1,22.0,R,0,0,0,0,0,175,0,0,8,1,1,0,1,0,Semi-Monthly,0,0,0,0,Aquarius,0,1,1.47,0
358,1,30.0,R,0,0,0,0,0,233,1,0,31,1,1,1,0,0,Semi-Monthly,0,0,1,0,Libra,0,0,1.9,0
360,1,28.0,R,0,0,0,0,0,150,0,0,15,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,1,1.77,0
361,1,27.0,R,3,3,41,3,0,45,0,0,15,1,0,0,1,0,Monthly,0,0,0,0,Virgo,0,0,0.53,0
369,1,36.0,na,0,0,0,0,0,113,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.83,0
377,1,38.0,na,0,0,0,0,0,81,0,0,4,1,1,0,1,0,na,0,0,0,0,Taurus,0,1,3.3,0
390,1,25.0,R,10,2,51,9,0,106,0,0,26,1,1,1,0,0,Bi-Weekly,0,0,0,0,na,0,0,0.77,1
391,1,26.0,na,0,0,21,0,0,25,0,0,0,1,0,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,0.43,0
399,1,38.0,na,0,0,1,0,0,4,0,0,0,1,1,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,0.06999999999999999,0
403,1,35.0,R,0,0,95,0,0,191,0,0,5,1,1,1,0,0,Semi-Monthly,0,0,0,0,Cancer,1,0,1.53,0
407,1,35.0,na,0,0,2,0,0,4,0,0,0,1,0,1,0,2,Bi-Weekly,0,0,0,0,Pisces,0,0,0.23,0
412,1,44.0,O,23,2,29,23,0,102,0,0,15,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.06999999999999999,0
417,1,25.0,R,5,6,94,5,0,152,0,0,24,1,1,1,0,3,na,0,0,0,0,Scorpio,0,0,0.63,1
421,1,28.0,R,4,0,87,4,0,139,0,0,11,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,1.4300000000000002,0
429,1,39.0,na,0,0,57,0,0,121,0,0,11,1,0,1,0,0,na,0,0,0,0,Sagittarius,0,0,0.7,1
430,1,33.0,na,10,3,53,10,0,52,0,0,15,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,1,0,0.67,1
436,1,20.0,na,2,0,15,2,0,32,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Taurus,0,0,0.37,1
440,1,32.0,R,0,0,5,0,0,165,0,0,17,1,1,0,1,2,Monthly,0,0,0,0,Pisces,0,0,1.3,0
445,1,40.0,na,0,0,0,0,0,225,0,0,42,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.87,1
448,1,23.0,na,2,1,51,2,0,196,0,0,32,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,1.5699999999999998,1
458,1,38.0,R,0,0,0,0,2,69,2,0,16,1,1,1,0,0,Weekly,0,0,0,0,Cancer,1,0,1.03,1
459,1,23.0,na,0,0,1,0,0,14,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Taurus,0,0,0.27,0
471,1,38.0,R,0,0,0,0,3,240,0,0,23,1,1,1,0,3,na,0,0,0,0,Pisces,0,0,1.93,0
475,1,29.0,R,37,4,29,36,0,249,0,0,23,1,1,0,1,0,Semi-Monthly,0,1,1,0,Sagittarius,1,0,2.0,1
479,1,36.0,na,0,0,0,0,0,215,0,0,9,1,1,0,1,3,Bi-Weekly,0,0,0,0,Pisces,0,0,2.1,0
486,1,52.0,R,0,0,65,0,0,143,0,0,17,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,0.9,1
495,1,66.0,O,2,0,66,2,0,164,0,0,16,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,1.4300000000000002,1
498,1,62.0,na,0,0,14,0,0,33,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,0.6,0
500,1,27.0,na,0,0,21,0,0,40,0,0,1,1,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,0.27,0
503,1,26.0,R,1,1,40,1,0,74,0,0,25,1,0,1,0,0,na,0,0,0,0,Cancer,0,0,0.33,1
504,1,29.0,R,0,0,0,0,0,79,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,0.83,0
505,1,21.0,na,0,0,0,0,0,36,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.47,0
507,1,48.0,O,1,0,3,1,0,119,0,0,8,1,0,1,0,0,Weekly,0,0,0,0,Leo,0,0,1.3,1
511,1,26.0,O,7,0,2,7,0,97,0,0,24,1,1,1,0,2,Weekly,0,0,0,0,Aquarius,1,0,0.77,0
515,1,37.0,R,0,0,0,0,1,211,0,0,18,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,2.17,0
522,1,27.0,R,0,0,1,0,0,100,0,0,11,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,0.9,1
523,1,23.0,R,0,0,138,0,0,205,0,0,39,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,1,1.63,1
524,1,33.0,R,1,0,9,0,0,82,0,0,14,1,1,0,1,0,na,0,0,1,0,Cancer,1,0,1.1,1
530,1,29.0,R,0,0,50,0,0,153,0,0,12,1,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,1.13,1
531,1,28.0,R,5,6,18,5,0,39,0,0,8,1,1,1,0,0,na,0,0,0,0,Aquarius,0,0,0.47,1
532,1,19.0,na,0,0,3,0,0,6,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.13,0
538,1,21.0,na,0,0,34,0,0,60,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,0.7,1
541,1,48.0,na,0,0,0,0,0,143,0,0,4,1,1,1,0,0,Monthly,0,0,0,0,na,1,0,1.5699999999999998,0
547,1,40.0,na,0,0,0,0,0,180,1,0,25,1,1,1,0,0,Monthly,0,0,0,0,Aquarius,0,0,1.7,1
549,1,46.0,R,15,0,72,14,0,218,0,0,27,1,1,1,0,0,na,0,0,0,0,Leo,1,0,1.93,0
554,1,35.0,na,0,0,0,0,0,174,0,0,17,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,2.23,0
565,1,54.0,na,0,0,0,0,0,211,0,0,14,1,1,1,0,0,Weekly,0,0,0,0,Taurus,0,0,2.07,0
570,1,38.0,R,0,0,0,0,0,146,0,0,24,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,0,1.6,0
578,1,26.0,na,0,0,0,0,0,18,0,0,1,1,0,0,1,0,na,0,0,0,0,Aquarius,0,0,0.53,0
588,1,35.0,R,0,0,0,0,0,111,0,0,31,1,1,1,0,0,na,0,0,0,0,Aries,0,1,0.97,1
589,1,25.0,na,0,0,0,0,0,120,0,0,6,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,1,0,1.03,0
593,1,26.0,na,0,0,0,0,0,28,0,0,4,1,1,0,1,3,Bi-Weekly,0,0,1,0,Aquarius,0,0,0.43,0
597,1,45.0,R,0,0,0,0,1,216,0,0,19,1,1,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.2,0
598,1,24.0,na,0,0,24,0,0,69,0,0,0,1,0,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,0.63,0
609,1,20.0,na,9,3,41,9,0,56,0,0,6,1,1,1,1,3,Bi-Weekly,0,0,0,0,Gemini,0,0,0.77,1
611,1,40.0,na,0,0,0,0,0,126,0,0,3,1,0,1,0,0,na,0,0,0,0,Pisces,0,0,1.5699999999999998,0
612,1,30.0,na,6,0,15,6,0,93,0,0,8,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,0.77,0
615,1,54.0,R,0,0,0,0,2,238,8,0,41,1,1,1,0,0,Weekly,0,0,1,0,Pisces,0,0,2.3,0
617,1,34.0,na,0,0,0,0,0,71,0,0,5,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,1.23,0
620,1,26.0,na,0,0,0,0,0,3,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,na,0,1,0.0,0
628,1,24.0,na,0,0,0,0,0,19,0,0,3,1,0,0,1,2,Bi-Weekly,0,0,0,0,Sagittarius,1,0,0.2,1
632,1,35.0,R,0,0,0,0,0,273,0,1,28,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,2.53,1
635,1,23.0,R,0,0,0,0,1,183,0,1,6,1,1,1,0,0,Weekly,0,0,0,0,Pisces,0,0,2.27,0
639,1,29.0,R,0,0,0,0,0,128,0,0,3,1,1,0,1,0,Monthly,0,1,0,0,Gemini,0,0,1.5699999999999998,0
647,1,37.0,R,0,0,22,0,0,295,0,0,27,1,1,1,0,0,Weekly,0,0,0,0,Libra,0,0,2.2,1
652,1,22.0,na,1,0,4,1,0,5,0,0,0,1,0,0,1,0,na,0,0,0,0,Libra,0,0,0.03,1
655,1,44.0,R,0,0,0,0,0,118,0,0,8,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.0699999999999998,0
656,1,26.0,R,0,0,0,0,0,151,1,0,1,1,0,0,1,3,Bi-Weekly,0,0,0,0,Cancer,0,0,1.7,0
662,1,35.0,R,11,0,26,11,0,85,0,0,7,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.83,1
664,1,26.0,na,1,0,1,1,0,5,0,0,0,1,0,0,1,0,Weekly,0,0,0,0,Gemini,0,0,0.06999999999999999,1
672,1,31.0,R,3,2,9,3,0,15,0,0,1,1,1,1,0,0,na,0,0,0,0,Gemini,0,0,0.37,0
673,1,26.0,R,0,0,27,0,0,53,0,0,9,1,1,0,1,2,na,0,0,0,0,na,0,0,0.5,1
674,1,27.0,O,0,0,0,0,0,169,0,0,2,1,1,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,1.9,0
677,1,27.0,R,0,0,13,0,0,7,0,0,0,1,1,1,0,0,na,0,0,0,0,Virgo,0,0,0.43,0
681,1,26.0,na,0,0,0,0,0,10,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.1,0
683,1,30.0,R,1,0,101,1,0,231,0,0,4,1,0,0,1,0,Semi-Monthly,0,0,0,0,na,1,0,2.1,0
686,1,36.0,R,0,0,0,0,0,202,0,1,13,1,1,1,1,3,Weekly,0,0,0,0,Scorpio,1,0,2.5,1
688,1,24.0,R,0,0,0,0,0,12,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.5700000000000001,0
690,1,35.0,na,0,0,0,0,0,189,0,0,14,1,1,0,1,0,Weekly,0,0,0,0,Virgo,0,0,2.0,0
692,1,55.0,O,15,0,36,15,0,35,0,0,3,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,2.0,1
698,1,25.0,R,0,0,44,0,0,57,0,0,5,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.03,1
699,1,36.0,R,0,0,0,0,0,54,0,0,2,1,0,1,0,0,Weekly,0,0,0,0,Pisces,1,0,0.5,0
708,1,36.0,R,3,0,12,2,2,236,4,1,27,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,1.67,1
711,1,26.0,na,0,0,0,0,0,43,0,0,9,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.7,0
721,1,23.0,R,0,0,0,0,0,160,0,0,2,1,1,0,1,0,Weekly,0,0,0,0,Aries,0,0,1.83,0
723,1,21.0,O,0,0,122,0,0,195,0,0,3,1,1,0,1,0,Monthly,0,0,0,0,Aquarius,0,0,1.7,1
726,1,43.0,na,0,0,7,0,0,33,0,0,3,1,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.16999999999999998,0
733,1,51.0,na,0,0,0,0,1,97,0,0,11,1,0,0,1,0,Bi-Weekly,0,0,0,1,Aquarius,0,0,1.4300000000000002,0
735,1,37.0,na,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Weekly,0,0,0,0,na,1,0,0.0,0
737,1,24.0,na,0,0,8,0,0,26,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.2,0
738,1,19.0,na,0,0,34,0,0,76,0,0,3,1,0,1,0,0,Monthly,0,0,0,0,Taurus,0,0,0.97,0
741,1,35.0,R,2,0,56,2,0,127,0,0,15,1,1,1,0,0,Weekly,0,0,0,0,Taurus,0,0,0.9,1
746,1,28.0,R,0,0,29,0,0,27,0,0,2,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,1,0,2.0,1
747,1,26.0,na,26,2,31,26,0,115,0,0,9,1,1,0,1,0,na,0,0,0,0,Aquarius,0,0,1.0,0
753,1,33.0,O,0,0,46,0,0,105,0,0,10,1,1,0,1,0,Weekly,0,0,0,0,Aries,0,0,0.33,1
766,1,24.0,na,0,0,55,0,0,134,0,0,10,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,0.93,0
768,1,40.0,R,0,0,10,0,0,269,0,0,11,1,1,0,1,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,2.23,0
770,1,23.0,R,0,0,2,0,0,176,0,0,19,1,1,1,1,3,Weekly,0,0,0,0,Taurus,0,0,1.23,0
774,1,45.0,na,0,0,48,0,0,152,0,0,6,1,1,1,0,0,Bi-Weekly,0,0,0,0,Libra,1,0,0.77,1
779,1,28.0,R,0,0,43,0,0,151,0,0,19,1,1,0,1,2,Bi-Weekly,0,0,0,1,Aquarius,0,0,1.23,1
