"","Rk","Year","Tm","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","current"
"20",1,2016,"Atlanta Braves","NL East",161,68,93,0,0.422,0.417,"5th of 5","26.5","",649,779,"2,020,914",28.9,26.4,60,35,"F.Freeman (6.5)","F.Gonzalez (9-28) and B.Snitker (59-65)","Atlanta Braves"
"21",2,2015,"Atlanta Braves","NL East",162,67,95,0,0.414,0.374,"4th of 5","23.0","",573,760,"2,001,392",28.8,26.6,60,37,"A.Simmons (4.0)","F.Gonzalez (67-95)","Atlanta Braves"
"22",3,2014,"Atlanta Braves","NL East",162,79,83,0,0.488,0.481,"2nd of 5","17.0","",573,597,"2,354,305",26.8,27.3,39,20,"J.Heyward (6.2)","F.Gonzalez (79-83)","Atlanta Braves"
"23",4,2013,"Atlanta Braves","NL East",162,96,66,0,0.593,0.603,"1st of 5","--","Lost LDS (3-1)",688,548,"2,548,679",26.8,27.2,44,21,"A.Simmons (7.0)","F.Gonzalez (96-66)","Atlanta Braves"
"24",5,2012,"Atlanta Braves","NL East",162,94,68,0,0.58,0.57,"2nd of 5","4.0","Lost NLWC (1-0)",700,600,"2,420,171",28.5,27.6,41,21,"M.Bourn (6.1)","F.Gonzalez (94-68)","Atlanta Braves"
"25",6,2011,"Atlanta Braves","NL East",162,89,73,0,0.549,0.526,"2nd of 5","13.0","",641,605,"2,372,940",28.9,28.4,45,21,"E.O'Flaherty (3.4)","F.Gonzalez (89-73)","Atlanta Braves"
"26",7,2010,"Atlanta Braves","NL East",162,91,71,0,0.562,0.573,"2nd of 5","6.0","Lost LDS (3-1)",738,629,"2,510,119",28.6,30.1,43,21,"J.Heyward (6.4)","B.Cox (91-71)","Atlanta Braves"
"27",8,2009,"Atlanta Braves","NL East",162,86,76,0,0.531,0.562,"3rd of 5","7.0","",735,641,"2,373,631",28.8,28.9,45,21,"J.Jurrjens (6.8)","B.Cox (86-76)","Atlanta Braves"
"28",9,2008,"Atlanta Braves","NL East",162,72,90,0,0.444,0.485,"4th of 5","20.0","",753,778,"2,532,834",27.2,28.6,49,28,"C.Jones (7.3)","B.Cox (72-90)","Atlanta Braves"
"29",10,2007,"Atlanta Braves","NL East",162,84,78,0,0.519,0.546,"3rd of 5","5.0","",810,733,"2,745,207",27.7,29.4,50,28,"C.Jones (7.6)","B.Cox (84-78)","Atlanta Braves"
"30",11,2006,"Atlanta Braves","NL East",162,79,83,0,0.488,0.524,"3rd of 5","18.0","",849,805,"2,550,524",27.5,29.4,45,26,"J.Smoltz (5.9)","B.Cox (79-83)","Atlanta Braves"
"31",12,2005,"Atlanta Braves","NL East",162,90,72,0,0.556,0.56,"1st of 5","--","Lost LDS (3-1)",769,674,"2,521,167",28.1,28.6,45,26,"A.Jones (6.7)","B.Cox (90-72)","Atlanta Braves"
"32",13,2004,"Atlanta Braves","NL East",162,96,66,0,0.593,0.583,"1st of 5","--","Lost LDS (3-2)",803,668,"2,327,565",28.9,30.1,39,21,"J.Drew (8.3)","B.Cox (96-66)","Atlanta Braves"
"33",14,2003,"Atlanta Braves","NL East",162,101,61,0,0.623,0.592,"1st of 5","--","Lost LDS (3-2)",907,740,"2,401,084",30.3,31.1,34,17,"M.Giles (7.8)","B.Cox (101-61)","Atlanta Braves"
"34",15,2002,"Atlanta Braves","NL East",161,101,59,1,0.631,0.602,"1st of 5","--","Lost LDS (3-2)",708,565,"2,603,484",30.6,31.1,38,20,"A.Jones (6.6)","B.Cox (101-59)","Atlanta Braves"
"35",16,2001,"Atlanta Braves","NL East",162,88,74,0,0.543,0.557,"1st of 5","--","Lost NLCS (4-1)",729,643,"2,823,530",30.3,31.1,47,23,"C.Jones (5.9)","B.Cox (88-74)","Atlanta Braves"
"36",17,2000,"Atlanta Braves","NL East",162,95,67,0,0.586,0.557,"1st of 5","--","Lost LDS (3-0)",810,714,"3,234,304",30.7,31.4,47,22,"A.Jones (8.2)","B.Cox (95-67)","Atlanta Braves"
"37",18,1999,"Atlanta Braves","NL East",162,103,59,0,0.636,0.608,"1st of 5","--","Lost WS (4-0)",840,661,"3,284,897",29.6,28.6,44,22,"A.Jones (7.1)","B.Cox (103-59)","Atlanta Braves"
"38",19,1998,"Atlanta Braves","NL East",162,106,56,0,0.654,0.656,"1st of 5","--","Lost NLCS (4-2)",826,581,"3,360,860",28.9,29.5,42,19,"A.Jones (7.4)","B.Cox (106-56)","Atlanta Braves"
"39",20,1997,"Atlanta Braves","NL East",162,101,61,0,0.623,0.638,"1st of 5","--","Lost NLCS (4-2)",791,581,"3,464,488",27.9,28.5,38,17,"G.Maddux (7.7)","B.Cox (101-61)","Atlanta Braves"
"40",21,1996,"Atlanta Braves","NL East",162,96,66,0,0.593,0.58,"1st of 5","--","Lost WS (4-2)",773,648,"2,901,242",27.9,27.9,42,18,"J.Smoltz (7.7)","B.Cox (96-66)","Atlanta Braves"
"41",22,1995,"Atlanta Braves","NL East",144,90,54,0,0.625,0.581,"1st of 5","--","Won WS (4-2)",645,540,"2,561,831",27.9,27.4,40,20,"G.Maddux (9.6)","B.Cox (90-54)","Atlanta Braves"
"42",23,1994,"Atlanta Braves","NL East",114,68,46,0,0.596,0.586,"2nd of 5","6.0","",542,448,"2,539,240",28.2,27.4,31,13,"G.Maddux (8.7)","B.Cox (68-46)","Atlanta Braves"
"43",24,1993,"Atlanta Braves","NL West",162,104,58,0,0.642,0.641,"1st of 7","--","Lost NLCS (4-2)",767,559,"3,884,720",28.8,26.8,33,13,"R.Gant (6.5)","B.Cox (104-58)","Atlanta Braves"
"44",25,1992,"Atlanta Braves","NL West",162,98,64,0,0.605,0.582,"1st of 6","--","Lost WS (4-2)",682,569,"3,077,400",28.4,27.5,41,19,"T.Pendleton (4.9)","B.Cox (98-64)","Atlanta Braves"
"45",26,1991,"Atlanta Braves","NL West",162,94,68,0,0.58,0.569,"1st of 6","--","Lost WS (4-3)",749,644,"2,140,217",28,27.1,43,20,"T.Glavine (9.3)","B.Cox (94-68)","Atlanta Braves"
"46",27,1990,"Atlanta Braves","NL West",162,65,97,0,0.401,0.416,"6th of 6","26.0","",682,821,"980,129",27.4,25.8,46,23,"R.Gant (5.5)","R.Nixon (25-40) and B.Cox (40-57)","Atlanta Braves"
"47",28,1989,"Atlanta Braves","NL West",161,63,97,1,0.394,0.431,"6th of 6","28.0","",584,680,"984,930",28.1,25.4,46,23,"L.Smith (8.8)","R.Nixon (63-97)","Atlanta Braves"
"48",29,1988,"Atlanta Braves","NL West",160,54,106,0,0.338,0.371,"6th of 6","39.5","",555,741,"848,089",28.9,27.4,40,19,"P.Smith (3.2)","C.Tanner (12-27) and R.Nixon (42-79)","Atlanta Braves"
"49",30,1987,"Atlanta Braves","NL West",161,69,92,0,0.429,0.452,"5th of 6","20.5","",747,829,"1,217,402",29.6,29.2,41,20,"D.Murphy (7.7)","C.Tanner (69-92)","Atlanta Braves"
"50",31,1986,"Atlanta Braves","NL West",161,72,89,0,0.447,0.429,"6th of 6","23.5","",615,719,"1,387,181",29.7,28.9,36,16,"D.Palmer (3.7)","C.Tanner (72-89)","Atlanta Braves"
"51",32,1985,"Atlanta Braves","NL West",162,66,96,0,0.407,0.404,"5th of 6","29.0","",632,781,"1,350,137",28.1,28.8,33,14,"D.Murphy (5.0)","E.Haas (50-71) and B.Wine (16-25)","Atlanta Braves"
"52",33,1984,"Atlanta Braves","NL West",162,80,82,0,0.494,0.484,"2nd of 6","12.0","",632,655,"1,724,892",27.8,28.4,38,15,"D.Murphy (5.5)","J.Torre (80-82)","Atlanta Braves"
"53",34,1983,"Atlanta Braves","NL West",162,88,74,0,0.543,0.57,"2nd of 6","3.0","",746,640,"2,119,935",27.7,29.2,40,17,"D.Murphy (7.1)","J.Torre (88-74)","Atlanta Braves"
"54",35,1982,"Atlanta Braves","NL West",162,89,73,0,0.549,0.523,"1st of 6","--","Lost NLCS (3-0)",739,702,"1,801,985",26.9,29.4,39,17,"D.Murphy (6.1)","J.Torre (89-73)","Atlanta Braves"
"55",36,1981,"Atlanta Braves","NL West",107,50,56,1,0.472,0.476,"5th of 6","15.0","",395,416,"535,418",26.5,31.5,40,16,"R.Camp (2.7)","B.Cox (50-56)","Atlanta Braves"
"56",37,1980,"Atlanta Braves","NL West",161,81,80,0,0.503,0.479,"4th of 6","11.0","",630,660,"1,048,411",26.8,29.6,32,11,"D.Murphy (6.5)","B.Cox (81-80)","Atlanta Braves"
"57",38,1979,"Atlanta Braves","NL West",160,66,94,0,0.413,0.44,"6th of 6","23.5","",669,763,"769,465",26.4,28.9,38,17,"P.Niekro (8.0)","B.Cox (66-94)","Atlanta Braves"
"58",39,1978,"Atlanta Braves","NL West",162,69,93,0,0.426,0.399,"6th of 6","26.0","",600,750,"904,494",25.6,28.2,42,18,"P.Niekro (10.4)","B.Cox (69-93)","Atlanta Braves"
"59",40,1977,"Atlanta Braves","NL West",162,61,101,0,0.377,0.376,"6th of 6","37.0","",678,895,"872,464",25.8,28.4,42,22,"P.Niekro (8.4)","D.Bristol (60-100), T.Turner (0-1) and V.Benson (1-0)","Atlanta Braves"
"60",41,1976,"Atlanta Braves","NL West",162,70,92,0,0.432,0.445,"6th of 6","32.0","",620,700,"818,179",27.8,29.1,43,18,"P.Niekro (6.8)","D.Bristol (70-92)","Atlanta Braves"
"61",42,1975,"Atlanta Braves","NL West",161,67,94,0,0.416,0.393,"5th of 6","40.5","",583,739,"534,672",27.2,29.5,40,19,"P.Niekro (6.6)","C.King (58-76) and C.Ryan (9-18)","Atlanta Braves"
"62",43,1974,"Atlanta Braves","NL West",163,88,74,1,0.543,0.573,"3rd of 6","14.0","",661,563,"981,085",28.1,29.5,36,15,"P.Niekro (8.0)","E.Mathews (50-49) and C.King (38-25)","Atlanta Braves"
"63",44,1973,"Atlanta Braves","NL West",162,76,85,1,0.472,0.515,"5th of 6","22.5","",799,774,"800,655",28,28.2,43,21,"D.Evans (9.0)","E.Mathews (76-85)","Atlanta Braves"
"64",45,1972,"Atlanta Braves","NL West",155,70,84,1,0.455,0.432,"4th of 6","25.0","",628,730,"752,973",27.2,28.2,36,17,"P.Niekro (5.7)","L.Harris (47-57) and E.Mathews (23-27)","Atlanta Braves"
"65",46,1971,"Atlanta Braves","NL West",162,82,80,0,0.506,0.462,"3rd of 6","8.0","",643,699,"1,006,320",27.2,28.5,35,14,"H.Aaron (7.2)","L.Harris (82-80)","Atlanta Braves"
"66",47,1970,"Atlanta Braves","NL West",162,76,86,0,0.469,0.478,"5th of 6","26.0","",736,772,"1,078,848",29.5,28.7,37,17,"R.Carty (5.8)","L.Harris (76-86)","Atlanta Braves"
"67",48,1969,"Atlanta Braves","NL West",162,93,69,0,0.574,0.541,"1st of 6","--","Lost NLCS (3-0)",691,631,"1,458,320",29.1,27.5,39,18,"H.Aaron (8.0)","L.Harris (93-69)","Atlanta Braves"
"68",49,1968,"Atlanta Braves","NL",163,81,81,1,0.5,0.47,"5th of 10","16.0","",514,549,"1,126,540",28.7,27.5,38,17,"H.Aaron (6.8)","L.Harris (81-81)","Atlanta Braves"
"69",50,1967,"Atlanta Braves","NL",162,77,85,0,0.475,0.494,"7th of 10","24.5","",631,640,"1,389,222",28.6,28.1,41,18,"H.Aaron (8.5)","B.Hitchcock (77-82) and K.Silvestri (0-3)","Atlanta Braves"
"70",51,1966,"Atlanta Braves","NL",163,85,77,1,0.525,0.562,"5th of 10","10.0","",782,683,"1,539,801",28.2,27.9,44,21,"H.Aaron (7.8)","B.Bragan (52-59) and B.Hitchcock (33-18)","Atlanta Braves"
"71",52,1965,"Milwaukee Braves","NL",162,86,76,0,0.531,0.551,"5th of 10","11.0","",708,633,"555,584",28,26.5,37,14,"H.Aaron (7.8)","B.Bragan (86-76)","Atlanta Braves"
"72",53,1964,"Milwaukee Braves","NL",162,88,74,0,0.543,0.535,"5th of 10","5.0","",803,744,"910,911",27.5,27.9,42,19,"H.Aaron (6.8)","B.Bragan (88-74)","Atlanta Braves"
"73",54,1963,"Milwaukee Braves","NL",163,84,78,1,0.519,0.553,"6th of 10","15.0","",677,603,"773,018",27.6,28.1,37,14,"H.Aaron (9.1)","B.Bragan (84-78)","Atlanta Braves"
"74",55,1962,"Milwaukee Braves","NL",162,86,76,0,0.531,0.543,"5th of 10","15.5","",730,665,"766,921",28.1,28.9,37,16,"H.Aaron (8.5)","B.Tebbetts (86-76)","Atlanta Braves"
"75",56,1961,"Milwaukee Braves","NL",155,83,71,1,0.539,0.537,"4th of 8","10.0","",712,656,"1,101,441",28.8,30.8,40,16,"H.Aaron (9.4)","C.Dressen (71-58) and B.Tebbetts (12-13)","Atlanta Braves"
"76",57,1960,"Milwaukee Braves","NL",154,88,66,0,0.571,0.544,"2nd of 8","7.0","",724,658,"1,497,799",30,30.4,36,14,"H.Aaron (8.0)","C.Dressen (88-66)","Atlanta Braves"
"77",58,1959,"Milwaukee Braves","NL",157,86,70,1,0.551,0.568,"2nd of 8","2.0","",724,623,"1,749,112",29.5,30.2,37,11,"H.Aaron (8.6)","F.Haney (86-70)","Atlanta Braves"
"78",59,1958,"Milwaukee Braves","NL",154,92,62,0,0.597,0.6,"1st of 8","--","Lost WS (4-3)",675,541,"1,971,101",28.7,29.9,35,13,"H.Aaron (7.3)","F.Haney (92-62)","Atlanta Braves"
"79",60,1957,"Milwaukee Braves","NL",155,95,59,1,0.617,0.604,"1st of 8","--","Won WS (4-3)",772,613,"2,215,404",28,29,39,14,"H.Aaron (8.0)","F.Haney (95-59)","Atlanta Braves"
"80",61,1956,"Milwaukee Braves","NL",155,92,62,1,0.597,0.599,"2nd of 8","1.0","",709,569,"2,046,331",27.5,28.6,33,14,"H.Aaron (7.1)","C.Grimm (24-22) and F.Haney (68-40)","Atlanta Braves"
"81",62,1955,"Milwaukee Braves","NL",154,85,69,0,0.552,0.549,"2nd of 8","13.5","",743,668,"2,005,836",27.2,27.2,32,15,"E.Mathews (7.3)","C.Grimm (85-69)","Atlanta Braves"
"82",63,1954,"Milwaukee Braves","NL",154,89,65,0,0.578,0.585,"3rd of 8","8.0","",670,556,"2,131,388",26.5,27.4,31,13,"E.Mathews (7.8)","C.Grimm (89-65)","Atlanta Braves"
"83",64,1953,"Milwaukee Braves","NL",157,92,62,3,0.597,0.602,"2nd of 8","13.0","",738,589,"1,826,397",27.5,28.1,31,13,"W.Spahn (9.1)","C.Grimm (92-62)","Atlanta Braves"
"84",65,1952,"Boston Braves","NL",155,64,89,2,0.418,0.439,"7th of 8","32.0","",569,651,"281,278",28.7,28.8,34,14,"W.Spahn (7.1)","T.Holmes (13-22) and C.Grimm (51-67)","Atlanta Braves"
"85",66,1951,"Boston Braves","NL",155,76,78,1,0.494,0.54,"4th of 8","20.5","",723,662,"487,475",30,28,33,15,"W.Spahn (8.0)","B.Southworth (28-31) and T.Holmes (48-47)","Atlanta Braves"
"86",67,1950,"Boston Braves","NL",156,83,71,2,0.539,0.529,"4th of 8","8.0","",785,736,"944,391",29.3,28.6,35,16,"S.Gordon (6.3)","B.Southworth (83-71)","Atlanta Braves"
"87",68,1949,"Boston Braves","NL",157,75,79,3,0.487,0.492,"4th of 8","22.0","",706,719,"1,081,795",29.9,28.9,34,12,"W.Spahn (5.6)","B.Southworth (55-54) and J.Cooney (20-25)","Atlanta Braves"
"88",69,1948,"Boston Braves","NL",154,91,62,1,0.595,0.606,"1st of 8","--","Lost WS (4-2)",739,584,"1,455,439",29.6,29.6,35,16,"J.Sain (8.5)","B.Southworth (91-62)","Atlanta Braves"
"89",70,1947,"Boston Braves","NL",154,86,68,0,0.558,0.552,"3rd of 8","8.0","",701,626,"1,277,361",29.5,30.4,34,17,"W.Spahn (9.3)","B.Southworth (86-68)","Atlanta Braves"
"90",71,1946,"Boston Braves","NL",154,81,72,1,0.529,0.528,"4th of 8","15.5","",630,592,"969,673",29.5,30.9,48,21,"J.Sain (7.8)","B.Southworth (81-72)","Atlanta Braves"
"91",72,1945,"Boston Braves","NL",154,67,85,2,0.441,0.496,"6th of 8","30.0","",721,728,"374,178",28.8,30.8,42,22,"T.Holmes (8.0)","B.Coleman (42-51) and D.Bissonette (25-34)","Atlanta Braves"
"92",73,1944,"Boston Braves","NL",155,65,89,1,0.422,0.442,"6th of 8","40.0","",593,674,"208,691",27.7,29,37,14,"J.Tobin (6.3)","B.Coleman (65-89)","Atlanta Braves"
"93",74,1943,"Boston Braves","NL",153,68,85,0,0.444,0.377,"6th of 8","36.5","",465,612,"271,289",26.9,28.2,37,18,"N.Andrews (5.0)","B.Coleman (21-25) and C.Stengel (47-60)","Atlanta Braves"
"94",75,1942,"Boston Braves","NL",150,59,89,2,0.399,0.398,"7th of 8","44.0","",515,645,"285,332",27.1,26.6,34,15,"E.Lombardi (3.9)","C.Stengel (59-89)","Atlanta Braves"
"95",76,1941,"Boston Braves","NL",156,62,92,2,0.403,0.411,"7th of 8","38.0","",592,720,"263,680",27.7,26.2,39,15,"J.Tobin (4.3)","C.Stengel (62-92)","Atlanta Braves"
"96",77,1940,"Boston Bees","NL",152,65,87,0,0.428,0.419,"7th of 8","34.5","",623,745,"241,616",26.3,28.1,41,17,"E.Miller (4.8)","C.Stengel (65-87)","Atlanta Braves"
"97",78,1939,"Boston Bees","NL",152,63,88,1,0.417,0.436,"7th of 8","32.5","",572,659,"285,994",28.4,31.1,39,15,"M.West (4.6)","C.Stengel (63-88)","Atlanta Braves"
"98",79,1938,"Boston Bees","NL",153,77,75,1,0.507,0.456,"5th of 8","12.0","",561,618,"341,149",28.6,30.4,39,17,"L.Fette (3.5)","C.Stengel (77-75)","Atlanta Braves"
"99",80,1937,"Boston Bees","NL",152,79,73,0,0.52,0.519,"5th of 8","16.0","",579,556,"385,339",28.2,30.8,30,12,"J.Turner (6.1)","B.McKechnie (79-73)","Atlanta Braves"
"100",81,1936,"Boston Bees","NL",157,71,83,3,0.461,0.443,"6th of 8","21.0","",631,715,"340,585",28.9,30.8,37,20,"T.Cuccinello (5.7)","B.McKechnie (71-83)","Atlanta Braves"
"101",82,1935,"Boston Braves","NL",153,38,115,0,0.248,0.327,"8th of 8","61.5","",575,852,"232,754",29.3,33.2,31,11,"W.Berger (5.7)","B.McKechnie (38-115)","Atlanta Braves"
"102",83,1934,"Boston Braves","NL",152,78,73,1,0.517,0.48,"4th of 8","16.0","",683,714,"303,205",29.2,32.3,29,12,"W.Berger (5.1)","B.McKechnie (78-73)","Atlanta Braves"
"103",84,1933,"Boston Braves","NL",156,83,71,2,0.539,0.518,"4th of 8","9.0","",552,531,"517,803",29.3,32,31,11,"W.Berger (6.8)","B.McKechnie (83-71)","Atlanta Braves"
"104",85,1932,"Boston Braves","NL",155,77,77,1,0.5,0.496,"5th of 8","13.0","",649,655,"507,606",29.7,30.2,30,11,"H.Betts (4.8)","B.McKechnie (77-77)","Atlanta Braves"
"105",86,1931,"Boston Braves","NL",156,64,90,2,0.416,0.39,"7th of 8","37.0","",533,680,"515,005",30.3,30.2,32,11,"E.Brandt (6.1)","B.McKechnie (64-90)","Atlanta Braves"
"106",87,1930,"Boston Braves","NL",154,70,84,0,0.455,0.416,"6th of 8","22.0","",693,835,"464,835",29.6,30.9,32,12,"B.Smith (4.6)","B.McKechnie (70-84)","Atlanta Braves"
"107",88,1929,"Boston Braves","NL",154,56,98,0,0.364,0.371,"8th of 8","43.0","",657,876,"372,351",30.6,29.7,43,15,"S.Seibold (3.1)","J.Fuchs (56-98)","Atlanta Braves"
"108",89,1928,"Boston Braves","NL",153,50,103,0,0.327,0.353,"7th of 8","44.5","",631,878,"227,001",29.8,28.3,42,21,"R.Hornsby (8.8)","J.Slattery (11-20) and R.Hornsby (39-83)","Atlanta Braves"
"109",90,1927,"Boston Braves","NL",155,60,94,1,0.39,0.423,"7th of 8","34.0","",651,771,"288,685",29.8,29,36,15,"B.Smith (3.5)","D.Bancroft (60-94)","Atlanta Braves"
"110",91,1926,"Boston Braves","NL",153,66,86,1,0.434,0.436,"7th of 8","22.0","",624,719,"303,598",28.6,28.4,31,12,"D.Bancroft (4.1)","D.Bancroft (66-86)","Atlanta Braves"
"111",92,1925,"Boston Braves","NL",153,70,83,0,0.458,0.443,"5th of 8","25.0","",708,802,"313,528",28,27.9,38,15,"D.Bancroft (5.1)","D.Bancroft (70-83)","Atlanta Braves"
"112",93,1924,"Boston Braves","NL",154,53,100,1,0.346,0.314,"8th of 8","40.0","",520,798,"177,478",29.1,26.6,39,15,"J.Barnes (5.2)","D.Bancroft (53-100)","Atlanta Braves"
"113",94,1923,"Boston Braves","NL",155,54,100,1,0.351,0.398,"7th of 8","41.5","",636,798,"227,802",29.4,29.1,33,12,"J.Genewich (4.1)","F.Mitchell (54-100)","Atlanta Braves"
"114",95,1922,"Boston Braves","NL",154,53,100,1,0.346,0.357,"8th of 8","39.5","",596,822,"167,965",29.3,28.7,33,16,"F.Miller (2.6)","F.Mitchell (53-100)","Atlanta Braves"
"115",96,1921,"Boston Braves","NL",153,79,74,0,0.516,0.515,"4th of 8","15.0","",721,697,"318,627",28.1,26.5,26,12,"J.Oeschger (4.9)","F.Mitchell (79-74)","Atlanta Braves"
"116",97,1920,"Boston Braves","NL",153,62,90,1,0.408,0.389,"7th of 8","30.0","",523,670,"162,483",27.9,26.9,30,12,"J.Oeschger (3.0)","G.Stallings (62-90)","Atlanta Braves"
"117",98,1919,"Boston Braves","NL",140,57,82,1,0.41,0.413,"6th of 8","38.5","",465,563,"167,401",28.6,28,39,13,"D.Rudolph (4.8)","G.Stallings (57-82)","Atlanta Braves"
"118",99,1918,"Boston Braves","NL",124,53,71,0,0.427,0.454,"7th of 8","28.5","",424,469,"84,938",29.1,28.4,37,14,"R.Smith (3.7)","G.Stallings (53-71)","Atlanta Braves"
"119",100,1917,"Boston Braves","NL",157,72,81,4,0.471,0.487,"6th of 8","25.5","",536,552,"174,253",27.8,27.5,34,11,"R.Maranville (4.5)","G.Stallings (72-81)","Atlanta Braves"
"120",101,1916,"Boston Braves","NL",158,89,63,6,0.586,0.581,"3rd of 8","4.0","",542,453,"313,495",27.9,27.9,28,9,"R.Maranville (5.2)","G.Stallings (89-63)","Atlanta Braves"
"121",102,1915,"Boston Braves","NL",157,83,69,5,0.546,0.53,"2nd of 8","7.0","",582,545,"376,283",27.5,27.2,34,13,"S.Magee (4.8)","G.Stallings (83-69)","Atlanta Braves"
"122",103,1914,"Boston Braves","NL",158,94,59,5,0.614,0.582,"1st of 8","--","Won WS (4-0)",657,548,"382,913",25.7,25.2,34,12,"B.James (8.7)","G.Stallings (94-59)","Atlanta Braves"
"123",104,1913,"Boston Braves","NL",154,69,82,3,0.457,0.466,"5th of 8","31.5","",641,690,"208,000",26.2,27.7,46,13,"D.Rudolph (4.7)","G.Stallings (69-82)","Atlanta Braves"
"124",105,1912,"Boston Braves","NL",155,52,101,2,0.34,0.397,"8th of 8","52.0","",693,871,"121,000",27.4,29.3,37,14,"B.Sweeney (5.3)","J.Kling (52-101)","Atlanta Braves"
