Id,longitude,latitude,median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
5012,-118.02,34.13,32,3308,718,1803,667,39464,273600
2932,-120.1,36.21,12,1462,356,1708,367,15086,64700
10624,-123.41,40.61,17,769,205,301,126,17875,55000
11658,-120.67,35.48,18,2339,443,1097,416,33438,176100
11595,-118.27,34.05,24,323,214,751,189,18304,225000
2087,-120.35,37.86,25,287,57,118,50,23056,162500
2023,-116.95,33.31,16,2921,639,1838,540,22393,117000
2511,-117.79,33.73,3,8240,1410,3318,1270,72074,291300
2857,-118.38,34.05,35,3517,879,1632,784,30956,500001
6358,-120.44,36.84,29,1563,293,883,288,28182,90500
6308,-116.5,33.82,16,343,85,29,14,21042,87500
6651,-122.08,37.92,26,1733,265,796,274,61950,264900
8726,-117.69,33.58,5,6678,1011,2877,982,75177,330000
8957,-118.09,34.01,42,897,229,1094,238,20729,114100
13916,-118.44,34.19,19,3487,959,2278,835,26709,215500
8223,-118.22,33.84,38,1928,429,1358,399,40687,160300
16016,-122.03,37.59,16,4371,889,2530,817,46786,256000
7113,-119.74,34.44,27,1251,282,503,283,28000,353000
19759,-119.73,34.43,27,1448,404,978,338,23030,261000
738,-122.01,38.36,15,1176,166,485,171,59441,228200
1175,-118.15,34.19,47,1717,314,868,295,36094,160700
3787,-119.17,34.2,40,1083,319,1843,349,23077,106900
4367,-118.1,33.74,31,1310,342,563,310,46528,457100
12345,-118.16,33.79,26,3061,844,2135,769,28750,164000
16163,-117.82,33.89,21,3079,509,1431,480,40714,278900
6736,-117.94,33.91,18,8836,1527,3946,1451,56441,313000
12519,-122.26,37.9,37,2220,335,903,362,78336,371300
4856,-122.15,37.75,44,1938,399,946,331,32250,135800
6301,-117.23,32.81,28,1508,263,996,267,38026,270000
7009,-117.04,32.68,11,1875,357,1014,386,43750,115000
12824,-118.98,35.4,36,1443,273,680,259,29821,73100
561,-122.0,37.37,16,1434,372,804,361,37045,178100
2694,-117.96,33.93,31,1471,321,841,330,34600,232800
8981,-117.86,33.75,6,1565,599,3157,629,29270,123200
18592,-121.32,38.02,23,3251,689,1890,668,30729,104800
85,-120.6,38.76,22,1236,273,615,248,30217,106900
6004,-118.04,33.72,14,4494,1048,2222,963,47821,169400
15920,-120.41,38.03,14,2061,465,859,462,21288,115300
12723,-118.14,34.7,12,1984,614,1071,574,12532,102100
11,-121.97,37.57,21,4342,783,2172,789,46146,247600
1833,-118.15,34.7,36,2696,454,1192,452,39615,116300
4835,-117.06,32.58,11,2879,679,2098,673,35125,142400
17810,-121.94,37.24,19,1741,294,632,279,55944,290500
13771,-117.61,34.13,21,8416,1386,4308,1341,44611,164600
14411,-116.93,33.75,14,6027,1148,3136,1036,29640,121500
11896,-121.52,38.53,30,3377,623,1289,594,35737,171200
13459,-122.02,37.32,27,4336,754,2009,734,63923,348300
8089,-121.52,38.51,23,6876,1456,2942,1386,30963,156900
20147,-118.46,34.0,52,888,206,376,194,38750,372000
14244,-117.79,33.69,16,3067,396,1275,372,87385,340000
11521,-118.42,34.23,34,1550,279,1011,288,45375,189000
8837,-117.2,34.04,23,1762,267,1132,279,59915,153200
18997,-122.63,38.95,11,686,127,246,86,17083,77300
19012,-118.31,33.73,52,1642,287,692,288,41811,321500
8661,-119.7,36.8,34,1768,303,888,314,38088,87700
18604,-122.25,37.83,52,1279,287,534,291,31429,231600
18151,-117.23,32.86,15,1703,320,587,282,50855,209800
16725,-120.84,35.31,23,3100,603,1515,609,28493,196100
20230,-120.43,34.89,30,1979,342,999,320,50286,158000
11762,-121.47,38.61,31,1072,279,781,281,16563,65800
16017,-118.03,33.93,22,3382,800,2688,784,38750,164700
230,-122.2,37.78,45,1766,332,869,327,45893,163500
11804,-122.44,37.79,52,1447,186,483,181,150001,500001
10657,-121.98,37.34,33,3570,776,1922,761,49562,238700
8071,-117.83,33.74,23,1818,522,958,485,26770,131500
14486,-121.39,38.67,35,562,174,240,106,9338,112500
1388,-119.29,34.29,33,3854,982,1835,894,35294,323900
15631,-122.09,37.4,17,748,184,412,180,34375,290600
12987,-122.12,37.67,33,3429,681,1798,694,39395,184700
1156,-116.89,32.67,9,2652,393,1355,362,62577,293100
16707,-118.06,34.01,34,1962,396,1488,332,39091,155100
17497,-118.34,33.92,29,1475,349,965,370,33558,199600
1519,-122.04,36.97,40,1193,227,570,204,44659,237500
8246,-119.71,34.43,18,1170,372,681,346,21974,255000
2796,-119.31,36.34,14,2985,607,2250,607,21602,65200
3265,-118.06,33.85,16,4851,726,2527,704,60142,437400
12167,-117.24,32.75,33,1980,614,1057,567,22042,231300
2818,-117.65,33.6,13,2319,430,1004,380,51330,316100
18103,-122.25,38.11,49,2365,504,1131,458,26133,103100
14589,-117.93,33.87,29,1221,371,1822,326,17935,162500
2603,-118.36,33.92,19,2807,883,1546,815,26375,233800
1766,-118.12,34.23,52,433,69,147,53,39583,162500
2794,-124.09,40.95,18,2250,484,1248,472,25893,99600
4787,-117.81,33.67,8,2098,342,908,329,77589,342900
16837,-117.11,32.64,23,1619,447,1025,415,18580,67500
17309,-121.91,37.31,16,2962,898,1555,795,25804,216300
15515,-118.04,34.07,52,177,59,269,75,23611,131300
6447,-118.4,34.13,32,8262,1156,2712,1125,105574,500001
265,-122.26,38.28,24,2831,502,1462,503,45000,158300
9663,-117.97,33.68,26,1616,292,700,241,55105,232100
4950,-118.01,34.1,27,2424,542,1713,557,38085,181400
16220,-121.92,36.95,29,3457,699,1327,563,36597,252300
14195,-122.71,38.46,42,1574,376,844,369,23140,169400
8332,-121.95,37.38,22,765,198,390,176,31812,87500
8743,-117.25,34.41,13,3682,668,1606,668,21875,119700
14442,-122.0,37.08,17,4154,739,2149,693,55919,373400
17441,-117.43,34.07,18,2453,537,1503,500,23767,95300
6915,-123.8,39.46,35,1718,345,698,299,29243,131600
14380,-117.74,33.46,9,6564,1316,1720,904,48900,454100
11903,-122.12,37.68,37,2412,394,975,375,40416,191100
13082,-122.0,38.03,4,2341,408,1235,431,60424,165900
19441,-118.18,34.13,39,2902,460,1007,420,61952,363000
1950,-118.36,33.93,27,4445,1231,3340,1113,31656,204500
4792,-117.9,33.65,27,3310,598,1402,563,66320,441100
1947,-122.23,37.76,52,3011,542,1303,535,51039,273800
399,-121.81,37.35,28,3477,671,2990,648,44671,172600
18615,-121.98,37.82,18,9117,1248,3280,1167,80030,351300
16059,-122.26,38.57,22,509,103,139,73,21979,152800
1981,-118.31,34.0,52,1630,379,1413,405,19330,120000
16346,-117.91,33.65,14,2598,759,1584,703,40416,180900
945,-122.06,37.99,16,2445,469,721,474,28043,87500
17988,-116.79,32.61,19,2652,520,1421,491,35227,206100
10838,-121.97,37.0,25,990,166,522,185,48269,272900
6323,-119.54,36.7,20,1815,375,1665,357,22448,58900
4609,-121.8,38.55,11,5121,899,2258,901,47168,223200
2707,-117.09,32.68,29,1792,449,1650,396,22201,100000
11474,-118.98,35.38,28,1171,299,1193,273,8639,49400
6656,-119.96,38.94,19,1429,292,585,188,22589,131600
15356,-117.69,34.06,29,873,226,649,198,27986,114400
2216,-124.18,40.78,33,1076,222,656,236,25096,72200
8722,-122.1,37.68,37,1352,342,691,324,34032,196900
16881,-117.93,33.84,26,2811,612,1374,566,34750,282500
8590,-118.37,33.86,28,2685,581,1243,529,41190,324000
15247,-121.84,38.13,33,596,105,212,94,42813,81300
6133,-121.9,38.03,51,2982,689,1831,608,20034,87700
14627,-118.38,33.87,21,4151,1018,2054,925,49821,292900
17598,-119.18,34.22,15,4615,1008,2549,973,39063,198700
20169,-122.03,37.61,33,1518,302,831,268,50970,188600
16407,-122.23,37.81,52,1433,229,612,213,47708,314700
20459,-118.55,34.26,21,4018,536,1508,529,82030,445400
3619,-117.27,34.17,16,30,3,49,8,46250,250000
18871,-117.38,34.14,11,10804,1493,5221,1482,52460,161400
20017,-116.97,32.81,19,1573,471,844,414,21422,125000
16022,-118.36,33.95,42,1139,302,1283,306,41635,163900
19545,-118.25,33.89,34,1367,288,1183,286,26812,104100
13618,-118.31,34.09,42,1951,846,2500,813,15195,218200
20470,-120.68,35.25,16,4208,897,1634,806,22868,233700
12359,-121.97,37.93,4,3241,464,1552,494,66134,307000
1075,-119.77,34.43,28,3318,441,1604,404,97821,500001
696,-118.01,34.11,32,1978,536,826,470,25114,212200
19634,-122.28,37.85,52,2246,472,1005,449,24167,152700
17172,-117.99,35.16,15,2180,416,960,370,28750,87800
4068,-122.31,37.52,24,2328,335,969,354,77364,435800
13180,-122.32,37.53,39,2795,464,1183,443,57790,387100
19723,-118.22,34.07,36,839,250,1079,245,17463,158300
16696,-121.32,38.69,11,13796,2372,6000,2250,38776,124500
3703,-118.34,34.08,52,1721,195,688,196,150001,500001
12328,-119.85,36.97,13,2872,477,1607,481,44750,102400
6010,-121.03,37.62,43,1241,240,612,266,28194,81300
6189,-122.21,37.78,49,898,244,779,245,30536,137500
13441,-122.39,37.74,42,4110,846,2147,674,25694,201000
6177,-121.84,37.37,42,1237,232,900,241,38571,187500
4550,-117.03,32.8,19,3866,775,1554,703,43281,220000
2320,-122.13,37.72,45,2315,451,1006,444,35240,186200
10100,-118.37,33.88,44,1325,245,669,253,44211,324000
15823,-118.17,34.06,44,1856,461,1853,452,25033,131900
16304,-122.43,37.79,52,3565,892,1377,852,38068,500001
13205,-122.36,37.95,38,1066,248,729,286,15139,81700
8926,-118.39,33.85,24,4373,871,1830,824,57128,366200
3419,-119.95,38.95,8,430,107,36,18,26250,187500
3790,-117.68,33.48,15,1786,299,727,293,50527,231400
6155,-118.35,34.17,47,858,170,365,171,20385,225000
15053,-114.47,34.4,19,7650,1901,1129,463,18200,80100
16894,-121.31,37.97,42,1824,277,720,309,51914,183700
20303,-116.93,32.83,21,1283,278,684,289,23203,163500
17780,-119.78,36.76,50,1343,322,1063,342,17500,49800
2765,-117.04,32.6,18,4747,846,3002,872,39076,152900
1577,-121.62,36.14,25,726,274,411,214,32375,450000
8745,-117.82,33.72,24,3477,462,1593,484,68634,276500
10328,-122.22,37.48,47,2570,783,3107,724,28058,229500
9996,-122.32,37.96,25,1728,403,934,412,33750,133700
8769,-117.18,32.69,48,2764,491,978,449,51249,432400
8210,-117.97,34.11,18,123,28,121,26,30417,137500
17884,-118.17,33.79,36,948,303,1042,301,15500,100000
9282,-118.31,33.91,36,961,173,625,179,42596,181100
10134,-118.15,34.2,52,1786,306,1018,322,41518,182100
10465,-122.32,37.95,36,1425,245,573,239,43500,185000
8963,-122.43,37.79,52,6186,1566,2065,1374,58543,500001
12979,-118.44,34.01,42,2061,396,907,393,60804,420000
16433,-117.32,34.09,38,1585,345,1347,368,23750,75300
20377,-117.9,33.71,16,1917,317,1324,351,62488,252000
8996,-117.93,33.93,33,1626,378,1062,356,21944,139600
4408,-122.23,37.76,52,1049,185,374,176,41458,248500
7780,-118.32,34.09,30,1871,766,2595,819,20044,212500
8344,-122.32,37.52,26,4042,591,1611,578,84693,419200
7778,-118.29,33.98,30,1162,318,1207,289,12230,100000
2802,-122.15,37.68,35,2632,447,1349,486,43864,205200
8336,-120.42,34.96,14,2069,343,1240,338,45066,149800
14316,-118.18,33.99,36,988,337,1508,351,24375,154800
5767,-118.46,35.13,19,3109,640,1457,620,26417,94900
18134,-118.55,34.17,36,2127,297,761,274,78392,500001
17047,-118.1,33.74,37,997,262,531,282,47773,400000
19744,-118.38,34.16,46,2609,593,1055,585,33177,309400
16313,-117.05,33.02,18,917,121,388,131,63517,260100
514,-121.62,36.67,45,1827,408,1507,410,28942,129000
13688,-118.28,34.0,46,1650,463,1992,458,23403,114100
4661,-117.97,33.91,19,8096,1318,3853,1313,60076,269500
2635,-118.26,34.02,38,1091,349,1786,340,21309,136500
20639,-117.57,33.87,27,1786,287,939,278,51929,165000
11340,-117.02,32.81,26,1998,301,874,305,54544,180900
9854,-118.38,33.8,36,4421,702,1433,624,80838,500001
8904,-118.47,34.1,32,8041,1141,2768,1106,111978,500001
8878,-121.23,36.33,23,2095,536,1858,457,30543,92400
3069,-122.2,37.79,40,1060,256,667,235,41739,169600
18101,-121.6,36.81,18,1575,230,751,219,52203,286500
20019,-121.53,39.44,26,1340,255,662,239,26071,57100
10628,-117.63,34.09,19,3490,816,2818,688,28977,126200
12010,-118.07,33.99,39,552,151,807,168,32500,153300
3207,-118.32,33.35,27,1675,521,744,331,21579,450000
76,-122.53,37.86,38,1183,196,628,205,37500,478600
1033,-118.49,34.02,29,2709,799,1238,793,31563,330000
5257,-122.47,37.95,16,3769,839,1986,815,39712,187500
3784,-122.24,40.45,27,1804,321,782,300,35978,80600
14973,-117.76,33.79,4,8974,1268,3754,1241,82653,374000
16847,-118.33,34.15,39,493,168,259,138,23666,17500
8199,-118.29,33.93,43,2021,379,1051,352,33836,129900
9661,-121.93,37.27,30,2862,544,1387,542,51104,278100
7359,-122.0,37.97,27,2491,428,1171,431,51021,202800
654,-117.51,34.02,24,7779,1835,3996,1765,21764,135300
12196,-118.06,34.06,28,1778,605,2184,574,19189,165900
7412,-117.93,33.72,17,4461,585,2095,580,76709,319500
3979,-118.27,34.1,51,3149,519,1082,510,64459,421600
9455,-118.3,33.93,35,1300,356,1216,326,12000,99200
4494,-117.06,32.69,9,521,111,491,110,51304,158900
18281,-122.37,38.33,29,1868,291,764,284,48250,195100
5358,-117.1,32.75,21,2063,609,1686,558,14827,94800
238,-119.31,36.31,18,3860,760,1643,664,20714,92600
3736,-121.99,37.29,32,2930,481,1336,481,64631,344100
4540,-118.0,33.86,32,1162,196,563,178,38750,203000
6504,-118.57,34.21,23,4891,793,2447,765,58798,270500
12423,-117.88,33.89,16,959,176,353,185,45000,173300
9205,-118.07,33.97,36,1265,273,1052,253,48929,156200
10054,-118.58,34.22,35,2560,441,1428,468,56345,228200
20181,-118.4,33.86,41,2237,597,938,523,47105,500001
14678,-122.41,37.66,34,1075,318,906,294,30052,242500
3085,-122.57,38.02,33,9531,1487,3798,1409,56512,314000
11392,-122.39,37.73,43,4864,972,3134,959,43393,217300
5654,-122.38,37.59,44,2089,348,837,317,46628,459200
9784,-121.47,38.57,52,438,103,176,99,30217,200000
2180,-117.0,32.73,17,6050,1143,3424,1131,37647,127600
11937,-118.5,34.19,26,2156,509,1142,470,40000,224700
19471,-122.16,37.45,50,196,41,76,42,76129,412500
10421,-121.23,38.04,32,1829,262,677,243,61805,247900
18942,-122.1,37.69,44,2341,500,1256,485,29507,157100
739,-116.35,32.74,16,2595,606,1046,367,17137,110700
17716,-117.89,34.1,27,3341,728,1762,679,29437,180400
1624,-122.12,38.01,50,1300,263,691,239,39519,126500
9451,-121.36,38.58,25,3196,406,978,419,84699,344000
19843,-118.84,34.15,17,3785,494,1527,507,84443,358500
909,-117.11,32.62,27,1846,509,1078,482,21719,131500
386,-124.16,40.8,52,2167,480,908,451,16111,74700
7842,-122.33,37.99,4,3999,1079,1591,887,39110,112500
6011,-117.9,33.84,31,2043,468,1524,454,35329,187400
3999,-122.22,38.08,37,4590,857,2920,832,34360,94800
14218,-118.14,33.76,50,914,167,322,165,47361,418800
16543,-122.49,37.73,37,1399,224,530,235,39219,433300
11948,-118.07,33.73,13,1822,313,643,303,98346,401700
13015,-121.93,37.33,44,2142,358,846,375,54273,421000
14260,-117.94,34.06,34,1921,422,1230,447,36648,193900
7552,-115.52,32.77,18,1715,337,1166,333,22416,79200
14896,-124.17,40.8,52,1557,344,758,319,18529,62500
20582,-118.09,34.08,33,1430,344,1165,328,30357,206000
2288,-121.34,38.59,22,3273,480,1151,463,80500,380000
16432,-122.05,37.37,27,3885,661,1537,606,66085,344700
1359,-122.02,36.98,21,1484,394,984,380,21734,187500
18564,-117.69,34.07,35,3222,559,1970,550,37083,131000
1003,-117.41,33.96,32,2837,617,1393,595,23798,118800
15804,-122.36,37.58,52,3084,595,1324,571,50756,374200
13458,-121.94,37.31,30,1680,312,858,310,40474,280500
365,-118.17,34.02,42,946,272,1191,261,24500,132000
12498,-122.07,37.35,35,1447,205,619,206,98143,500001
11276,-122.13,37.43,32,4398,878,1799,792,47375,431900
12930,-118.16,33.77,30,2800,757,1292,742,27614,272200
14968,-120.83,37.77,20,1717,403,1062,401,16759,116700
3852,-122.48,37.76,48,2304,558,1273,512,32750,332100
14106,-117.71,34.05,20,2281,444,1545,481,25735,130500
18049,-117.32,33.8,11,3196,576,1757,552,40982,173300
5617,-122.01,39.21,52,1989,392,985,396,25556,75800
2717,-120.95,37.65,14,5200,1119,3221,1102,26964,107000
3154,-122.49,37.76,52,1792,305,782,287,40391,332700
5146,-117.64,33.61,14,5232,810,3041,839,58259,247900
16974,-120.01,38.91,27,968,191,283,143,20938,94400
4197,-122.01,37.98,25,1476,336,777,297,35179,165500
12006,-117.8,34.02,23,3351,591,1535,522,50869,230600
5083,-119.05,34.35,39,950,300,1366,312,22443,146600
4269,-117.27,32.85,34,2105,444,780,406,23187,488900
409,-117.94,33.93,14,999,232,1037,244,27125,166100
5795,-117.78,33.68,15,1834,330,841,309,60634,234300
10256,-118.36,34.13,36,6871,1180,2216,1130,80498,495600
12702,-121.36,38.15,42,2051,334,878,318,43553,185700
19356,-121.62,39.11,11,3519,577,1459,549,42792,123800
8627,-118.28,33.94,43,1201,292,840,252,27917,105600
12620,-121.88,36.98,21,4117,752,2001,763,48953,289500
2948,-122.43,37.78,17,2728,908,1670,893,10770,115000
11084,-118.07,33.88,18,2436,375,1303,386,61968,344700
8656,-122.24,37.83,41,2576,406,794,376,59560,366100
7234,-118.46,34.16,26,2548,647,1098,540,43839,299100
2884,-118.61,34.25,16,8295,1506,3903,1451,55111,276600
11156,-119.86,34.42,23,1450,642,1258,607,11790,225000
2562,-121.93,37.66,24,3166,424,1081,400,83337,500001
19703,-121.38,38.41,10,3425,629,1538,587,44500,138700
6001,-118.4,34.08,52,3815,439,1266,413,150001,500001
5345,-118.29,33.72,25,2469,584,1253,535,31932,257500
8144,-117.24,32.72,39,3819,594,1361,583,66013,396400
3070,-119.48,36.5,32,3451,625,1968,574,29554,110300
4640,-122.23,37.78,44,2340,825,2813,751,16009,118100
14525,-117.98,34.13,37,1447,309,1279,290,40083,142900
1685,-122.48,37.76,52,2684,574,1395,549,39097,323800
3178,-118.99,35.3,33,2248,434,1461,405,29402,56200
12617,-119.84,34.44,28,977,162,537,159,42404,274300
13705,-118.11,34.16,52,3158,459,1229,444,54223,325600
247,-117.87,33.84,25,1928,414,961,385,40724,231400
12877,-117.14,33.12,7,6126,1032,2662,923,49005,264000
10986,-122.08,37.38,33,2771,659,1496,581,34042,353600
19832,-118.56,34.41,4,17313,3224,6902,2707,56798,320900
18466,-117.26,33.21,26,1906,408,1325,427,30197,136000
5502,-120.25,37.93,13,493,76,196,68,33750,134100
604,-117.93,33.64,31,1291,356,1252,373,27143,185400
3905,-118.35,33.95,30,2661,765,2324,724,30519,137500
16784,-122.42,37.78,27,1728,884,1211,752,8543,500001
11169,-117.3,34.12,34,1127,275,971,249,20583,64800
18000,-117.16,33.92,12,3236,502,1610,502,47568,143500
2001,-119.83,36.78,30,3162,640,1660,639,28359,80300
18109,-121.83,37.32,17,1887,664,1906,597,25652,165300
16372,-122.24,37.77,52,1711,386,885,373,36417,206300
14931,-117.77,33.88,8,4874,627,2070,619,81117,410200
6238,-122.48,38.48,29,2278,397,765,322,46379,348200
15644,-121.3,38.61,25,2707,464,1423,490,43235,116900
17470,-117.68,34.07,32,1775,314,1067,302,40375,121300
16822,-122.44,37.79,52,1903,461,831,433,44464,500001
11498,-115.48,32.8,21,1260,246,805,239,26172,88500
9131,-121.84,37.21,15,5468,676,2221,675,83792,418300
4373,-119.81,36.76,48,2059,388,834,405,29306,67900
377,-121.76,38.25,32,1495,333,905,281,26250,212500
20481,-122.06,37.67,22,3882,816,1830,743,42733,180700
4409,-116.74,33.62,11,2385,661,682,242,29141,214300
5808,-117.05,33.29,17,1800,312,891,281,70177,267600
11697,-118.36,34.19,46,1676,322,846,295,51814,209500
7259,-121.9,36.97,21,3707,751,1420,608,44485,295200
3534,-117.96,33.8,33,2362,394,1185,387,44250,188400
2316,-118.34,34.19,47,1721,343,834,334,41923,231200
15841,-118.23,33.96,36,1062,270,1136,273,16597,109100
14894,-117.14,32.8,33,2670,435,1256,431,39417,179800
11640,-118.14,33.76,52,2677,642,1144,624,43888,378000
15420,-116.31,34.13,20,2352,556,1217,481,16063,55400
17468,-118.25,33.98,37,1503,392,1886,401,25637,125000
17478,-118.4,34.22,36,2557,540,1556,491,36591,183800
13416,-121.65,37.12,14,4721,999,2648,888,36895,239300
18354,-118.17,33.77,12,4409,1401,3068,1262,22808,154700
13819,-121.94,37.28,18,4356,1334,1968,1245,36294,240000
12028,-117.06,32.61,34,4325,1015,2609,979,28489,128300
19526,-122.37,41.41,28,1729,419,929,370,12700,53100
5431,-118.31,33.93,43,1834,292,997,295,49464,150300
8365,-121.22,38.16,24,4411,776,2038,732,34750,151200
5514,-118.06,33.83,22,5290,1054,2812,1021,45300,226400
14651,-122.21,37.8,50,2833,605,1260,552,28929,216700
12892,-121.37,38.01,15,2430,315,1016,314,100088,242000
12857,-117.33,34.04,18,1837,388,727,336,25187,116700
13149,-118.13,33.93,34,2122,517,1578,488,31496,191900
16634,-122.22,37.78,50,1776,473,1807,440,17276,102300
11852,-119.77,36.31,14,3677,863,2191,785,26218,69100
9291,-118.37,33.91,35,1742,283,812,282,56704,303700
17640,-117.06,33.03,23,2023,309,678,340,70913,265400
1460,-117.16,34.06,33,2101,468,1997,412,28125,117200
4288,-122.14,37.85,27,9147,1276,3371,1269,73267,389900
5351,-121.36,37.99,8,1801,380,684,350,42589,134900
1991,-121.47,38.57,50,3233,968,1223,837,12041,168100
17509,-117.97,33.99,23,3335,570,1560,555,57268,300300
7644,-121.52,37.75,18,1544,272,825,286,43229,327300
19782,-115.41,32.99,29,1141,220,684,194,34038,107800
13929,-122.21,37.81,52,1389,212,510,224,52402,296400
8376,-117.97,33.78,35,3148,597,2110,587,39479,203800
13837,-116.95,32.96,18,2087,353,992,329,45000,222600
9929,-120.37,38.25,13,4495,856,1149,459,25352,113700
509,-119.77,36.91,3,7520,1143,2878,1077,53272,174200
462,-117.24,33.23,13,3756,648,1767,614,40776,196000
14942,-119.69,36.74,17,2438,598,1563,538,15449,62500
15973,-118.15,33.95,35,2753,702,1592,614,27875,209000
17511,-118.98,34.4,34,1328,244,795,227,44219,338100
10645,-118.43,34.25,32,2433,553,2318,532,36384,159300
10229,-118.27,33.99,38,1407,447,1783,402,18086,97100
6245,-118.39,34.09,28,2347,608,785,548,44166,425000
3903,-118.09,34.74,34,1218,285,797,248,24348,104800
19235,-118.41,34.02,24,2610,756,1322,692,35022,281300
15129,-117.82,33.67,15,1010,274,649,261,25197,350000
6275,-121.57,39.78,18,2221,459,952,440,20458,105700
16127,-117.1,32.74,20,3854,1046,3555,966,16747,100000
3843,-118.96,34.18,16,3137,462,1384,436,61306,258200
15229,-121.77,36.96,20,4228,816,2389,844,35250,229100
9986,-118.65,34.2,23,7480,1084,3037,1058,69223,338400
10862,-118.85,34.14,24,1999,244,759,247,87657,366300
12951,-122.08,37.3,30,2268,404,1197,372,70813,485300
694,-121.22,37.8,37,1038,222,521,211,21250,91900
13357,-118.53,34.45,26,828,149,508,158,52374,185500
13608,-118.37,34.14,23,1883,512,774,478,35096,396400
11582,-122.13,37.72,35,2183,383,976,392,38393,243500
13114,-118.28,33.96,23,1983,611,2048,600,15313,91400
13516,-116.99,33.99,22,4227,658,1849,619,47356,195900
424,-117.66,34.14,8,1692,253,857,251,69418,310500
19559,-118.37,33.88,21,966,172,417,158,55335,342600
10782,-121.96,37.31,26,4310,678,1819,686,70469,365500
5471,-119.87,36.76,34,1649,323,919,316,28750,74500
1792,-122.77,38.92,26,712,140,293,100,40119,119400
14727,-120.85,37.77,20,651,157,421,151,20833,77300
5402,-118.37,34.08,52,2946,695,1258,650,39783,374100
3404,-118.32,34.1,43,1615,734,1460,644,14005,193800
8806,-117.98,33.73,18,3833,1056,2192,996,34679,219700
14204,-122.62,38.96,16,1914,446,828,332,20577,69000
16903,-122.93,41.48,20,4288,789,1800,660,27230,79600
13745,-117.05,34.04,23,3967,766,1518,698,22900,111800
19158,-122.44,37.65,38,5277,1008,2695,997,39722,276200
11677,-122.06,37.35,31,1795,281,872,282,80599,381800
14009,-118.19,34.02,40,474,124,546,121,23438,137500
8364,-118.23,33.84,25,1106,207,888,216,53307,207000
19422,-121.65,36.69,21,7884,2011,4907,1919,27367,160300
12274,-121.36,36.81,7,4609,741,1660,720,50871,290500
3211,-118.05,34.12,20,5218,959,2302,850,35500,476700
3539,-117.17,32.77,35,1399,274,695,281,37670,166800
