feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,target
0.012,68.666,-0.000,0.007,0.012,44777.29,0.333
0.012,61.032,-24.935,-0.002,-0.011,201868.35,0.340
0.011,61.032,-33.218,-0.001,-0.001,68258.06,0.346
0.012,69.021,-0.000,0.012,0.006,175372.41999999998,0.352
0.013,69.021,-0.000,0.008,-0.003,50704.22,0.358
0.013,61.687,-24.935,-0.001,-0.008,14689.970000000001,0.364
0.013,65.621,-0.000,0.006,0.007,105575.39,0.370
0.013,65.621,-0.000,0.004,0.005,62494.130000000005,0.377
0.011,52.999,-66.667,-0.010,-0.022,146825.78,0.383
0.010,52.999,-66.667,-0.007,-0.015,40411.09,0.389
0.010,57.715,-50.000,0.002,0.003,105327.18000000001,0.395
0.010,61.839,-0.000,0.008,0.002,123203.84999999999,0.401
0.009,55.962,-50.000,-0.001,-0.005,288037.32,0.407
0.009,55.962,-50.000,-0.001,0.009,271212.48,0.414
0.007,50.405,-100.000,-0.007,-0.000,470309.73,0.420
0.006,50.405,-100.000,-0.005,-0.006,98708.88999999998,0.426
0.005,45.200,-100.000,-0.010,-0.017,23397.44,0.432
0.005,55.171,-33.333,0.006,0.008,175868.44,0.438
0.005,55.171,-33.333,0.004,0.005,51714.88,0.444
0.004,49.905,-66.667,-0.004,0.003,364098.51,0.451
0.004,54.574,-33.333,0.004,0.009,496156.32,0.457
0.005,58.718,-0.000,0.009,0.019,55872.98,0.463
0.005,53.466,-50.000,-0.000,-0.007,376630.73999999993,0.469
0.004,48.768,-75.000,-0.007,-0.011,58519.66,0.475
0.002,44.553,-100.000,-0.011,-0.007,15690.329999999998,0.481
0.002,49.275,-75.000,-0.001,-0.005,170140.22,0.488
0.001,49.275,-75.000,-0.001,-0.010,18743.0,0.494
-0.001,41.111,-100.000,-0.013,-0.013,230789.87000000002,0.500
0.000,53.527,-33.276,0.010,0.017,718378.2300000001,0.506
0.004,64.341,-0.000,0.033,0.044,1983291.28,0.500
0.005,54.147,-37.613,0.002,0.003,986895.3299999998,0.583
0.004,51.252,-50.065,-0.005,-0.004,196045.96000000002,0.667
0.003,48.462,-62.516,-0.010,0.004,409200.02,0.750
0.002,48.462,-62.516,-0.006,-0.017,146036.21,0.833
0.001,45.584,-74.968,-0.011,-0.043,112013.20999999998,0.917
-0.003,38.224,-90.031,-0.026,-0.029,350463.8300000001,0.833
-0.006,38.224,-90.031,-0.018,-0.013,86851.02,0.750
-0.006,45.059,-70.093,0.001,0.011,371870.18000000005,0.667
-0.006,45.059,-70.093,0.001,0.007,123177.63,0.583
-0.007,42.342,-80.062,-0.006,0.005,46434.2,0.500
-0.010,37.476,-100.000,-0.017,0.010,263733.94,0.417
-0.012,35.292,-84.585,-0.018,0.000,197509.08000000002,0.500
-0.013,39.113,-69.958,-0.005,-0.006,247144.88,0.489
-0.013,42.754,-59.979,0.003,0.002,154114.80000000002,0.478
-0.012,42.754,-55.543,0.002,0.008,288173.00999999995,0.467
-0.012,42.754,-50.000,0.001,0.018,56918.100000000006,0.456
-0.012,42.754,-42.878,0.001,0.018,301185.06999999995,0.445
-0.010,47.015,-28.635,0.007,0.012,21248.21,0.434
-0.009,50.948,-14.392,0.011,0.008,306306.27,0.423
-0.007,50.948,-14.392,0.007,0.005,26412.76,0.412
-0.005,54.872,-12.468,0.011,0.010,380895.9199999999,0.401
-0.003,58.418,-0.000,0.014,0.013,374511.75000000006,0.390
-0.001,58.418,-0.000,0.009,0.002,53753.0,0.379
0.001,58.418,-0.000,0.006,-0.005,219416.45,0.368
0.002,58.418,-0.000,0.004,-0.003,26555.18,0.357
0.003,58.418,-0.000,0.003,-0.009,22612.67,0.346
0.003,52.449,-24.935,-0.005,-0.019,23291.14,0.335
0.004,61.027,-0.000,0.010,0.000,67362.24,0.324
0.005,55.624,-24.935,0.000,-0.006,47809.44,0.313
0.005,55.624,-24.935,0.000,-0.004,121389.18,0.302
0.005,55.624,-33.218,0.000,-0.003,10556.35,0.291
0.006,60.042,-0.000,0.006,0.011,44534.67,0.280
0.007,63.912,-0.000,0.011,0.001,174527.15,0.269
0.008,63.912,-0.000,0.007,0.007,71065.86,0.258
0.008,57.458,-33.333,-0.002,-0.002,150965.75999999998,0.247
0.008,57.458,-33.333,-0.001,-0.001,119304.45,0.236
0.007,57.458,-33.333,-0.001,-0.007,35549.630000000005,0.225
0.006,45.885,-74.805,-0.013,-0.024,1416022.0,0.214
0.005,51.180,-49.870,-0.002,-0.010,21385.350000000002,0.203
0.004,51.180,-49.870,-0.002,0.000,121030.82,0.192
0.002,41.673,-100.000,-0.014,-0.013,165059.34,0.181
0.001,47.001,-59.875,-0.003,-0.002,106046.73000000001,0.170
0.001,47.001,-59.875,-0.002,0.011,118702.68,0.159
0.000,47.001,-59.875,-0.001,0.001,95754.4,0.148
0.000,52.379,-39.917,0.006,0.007,29522.600000000002,0.137
-0.000,47.219,-59.875,-0.003,0.011,82950.20000000001,0.126
-0.000,47.219,-59.875,-0.002,0.001,236162.66999999998,0.115
0.000,52.631,-39.917,0.005,0.007,13796.86,0.104
0.000,52.631,-39.917,0.003,0.005,188141.02000000002,0.093
0.001,57.665,-0.000,0.009,0.003,45982.700000000004,0.082
0.001,51.743,-24.935,-0.001,0.002,58718.340000000004,0.071
0.001,51.743,-24.935,-0.000,0.001,77983.41,0.060
-0.000,41.747,-75.065,-0.013,-0.018,232425.65999999997,0.049
-0.002,37.832,-100.000,-0.015,-0.019,79418.04000000001,0.038
-0.002,48.324,-49.870,0.003,-0.006,106784.34,0.027
-0.003,44.279,-75.065,-0.005,-0.004,114701.57,0.016
-0.003,48.887,-49.870,0.003,0.004,112574.52000000002,0.005
-0.001,56.546,-19.958,0.015,0.028,615197.1200000001,0.016
0.001,56.546,-19.958,0.010,0.025,253203.15999999997,0.027
0.002,56.546,-19.958,0.007,0.004,320991.38,0.038
0.002,51.707,-39.917,-0.002,0.003,79.06,0.049
0.002,51.707,-39.917,-0.001,-0.005,46661.58,0.060
0.002,56.067,-19.958,0.006,-0.010,28479.98,0.071
0.003,56.067,-19.958,0.004,-0.006,65605.84000000001,0.082
0.003,56.067,-19.958,0.002,-0.004,111310.02000000002,0.093
0.003,50.386,-39.917,-0.005,-0.003,133977.61,0.104
0.003,55.267,-24.935,0.003,0.005,470724.73999999993,0.115
0.004,59.553,-0.000,0.009,0.003,486664.1299999999,0.126
0.005,59.553,-0.000,0.006,0.002,11193.64,0.137
0.005,53.598,-50.000,-0.003,-0.005,94920.23999999999,0.148
0.003,44.099,-100.000,-0.015,-0.010,138430.91,0.159
0.002,44.099,-74.805,-0.010,-0.013,104944.06,0.170
0.000,44.099,-74.805,-0.006,-0.015,105744.44,0.181
0.000,49.669,-49.870,0.002,-0.004,18810.94,0.192
0.001,54.547,-24.935,0.008,0.010,160326.96000000002,0.203
0.002,58.842,-0.000,0.012,0.026,81654.88,0.214
0.002,53.407,-24.935,0.001,0.011,42211.54,0.225
0.002,48.575,-49.870,-0.006,0.001,32874.270000000004,0.236
0.002,53.141,-24.935,0.003,0.001,56310.009999999995,0.247
0.001,48.503,-49.870,-0.005,-0.012,187986.19999999998,0.258
0.003,56.651,-0.000,0.010,-0.002,291835.0800000001,0.269
0.005,63.018,-33.218,0.019,0.018,1236395.23,0.280
0.007,63.018,-33.218,0.013,0.018,173031.65999999997,0.291
0.007,58.025,-44.521,0.002,-0.001,182286.88,0.302
0.008,58.025,-44.521,0.001,0.006,15417.7,0.313
0.006,49.172,-85.757,-0.012,-0.022,161484.02000000002,0.324
0.006,53.031,-71.513,-0.002,-0.021,121264.39999999998,0.335
0.005,53.031,-71.513,-0.001,-0.014,51229.04,0.346
0.004,48.740,-85.757,-0.007,-0.009,649.67,0.357
0.003,48.740,-85.757,-0.005,-0.006,54399.840000000004,0.368
0.003,48.740,-85.757,-0.003,0.009,145479.32,0.379
0.002,48.740,-85.757,-0.002,-0.001,10560.0,0.390
0.003,57.903,-57.270,0.011,0.012,137432.51,0.401
0.003,52.819,-60.166,0.001,0.008,13568.85,0.412
0.003,52.819,-60.166,0.001,0.006,18353.219999999998,0.423
0.005,60.871,-0.000,0.013,0.017,127974.85999999999,0.434
0.005,55.700,-25.389,0.002,0.005,223011.52,0.445
0.005,55.700,-25.389,0.002,-0.010,92977.64,0.456
0.005,55.700,-25.389,0.001,-0.000,125616.9,0.467
0.005,55.700,-25.389,0.001,-0.000,116197.8,0.478
0.005,55.700,-25.389,0.000,-0.013,43107.13,0.489
0.006,60.554,-19.917,0.007,0.004,230988.14,0.500
0.007,64.642,-0.000,0.011,0.009,311016.89,0.500
0.007,58.152,-19.917,0.001,-0.000,1010.79,0.505
0.007,58.152,-24.870,0.001,-0.000,37042.560000000005,0.511
0.007,58.152,-24.870,0.000,-0.000,177916.4,0.516
0.007,58.152,-24.870,0.000,-0.007,159267.79,0.521
0.007,58.152,-24.870,0.000,-0.011,163637.39,0.526
0.007,58.152,-33.103,0.000,-0.001,10848.01,0.532
0.006,50.137,-66.897,-0.006,-0.007,90512.79999999999,0.537
0.004,43.773,-75.130,-0.011,-0.011,346944.82,0.542
0.003,50.535,-50.259,-0.001,-0.001,140036.6,0.547
0.002,44.740,-75.130,-0.007,-0.007,258911.58,0.553
0.000,39.823,-100.000,-0.011,-0.011,26293.28,0.558
-0.000,46.192,-75.130,-0.001,0.006,1153.22,0.563
-0.001,46.192,-66.897,-0.001,0.010,110597.38999999998,0.568
-0.000,52.075,-33.793,0.006,0.007,18152.8,0.574
-0.001,46.589,-66.897,-0.002,0.004,35194.21,0.579
-0.001,46.589,-66.897,-0.002,0.009,58814.22,0.584
-0.001,46.589,-66.897,-0.001,-0.000,28930.35,0.589
-0.002,46.589,-66.897,-0.001,-0.000,182537.14,0.595
-0.002,46.589,-66.897,-0.000,-0.006,19805.809999999998,0.600
-0.002,46.589,-66.897,-0.000,0.002,34025.28,0.605
-0.002,46.589,-66.897,-0.000,0.001,25798.59,0.611
-0.002,46.589,-50.000,-0.000,0.001,38382.14,0.616
-0.001,55.139,-0.000,0.006,0.007,63232.54,0.621
-0.001,47.031,-50.000,-0.002,-0.002,49670.06999999999,0.626
-0.001,54.272,-0.000,0.005,0.005,35778.979999999996,0.632
-0.000,54.272,-0.000,0.003,0.004,70340.52,0.637
-0.000,46.845,-100.000,-0.004,-0.004,46280.48,0.642
0.000,53.673,-0.000,0.004,-0.003,153967.00999999998,0.647
0.001,53.673,-0.000,0.002,0.005,408162.1699999999,0.653
0.002,59.788,-33.103,0.008,0.003,359590.52,0.658
0.002,52.347,-66.897,-0.001,-0.004,222653.0,0.663
0.002,52.347,-66.897,-0.001,0.003,447846.48,0.668
0.002,58.357,-33.103,0.006,0.002,193133.06,0.674
0.002,51.378,-66.897,-0.003,-0.005,535633.9299999999,0.679
0.002,51.378,-66.897,-0.002,-0.010,106397.14000000001,0.684
0.001,45.233,-100.000,-0.008,-0.006,321177.11000000004,0.689
-0.000,40.071,-100.000,-0.011,-0.011,112074.05,0.695
-0.002,35.685,-100.000,-0.014,-0.020,212151.69999999998,0.700
-0.004,35.685,-100.000,-0.009,-0.007,143769.02000000002,0.705
-0.004,42.929,-80.083,0.000,0.002,109409.54,0.711
-0.004,42.929,-80.083,0.000,0.008,155163.36,0.716
-0.004,49.523,-50.259,0.006,0.018,90723.5,0.721
-0.004,44.043,-75.130,-0.002,0.012,255576.16999999998,0.726
-0.005,39.353,-100.000,-0.008,0.002,121489.94000000002,0.732
-0.006,39.353,-80.083,-0.005,-0.005,427179.56999999995,0.737
-0.006,39.353,-75.000,-0.003,-0.004,267415.8,0.742
-0.006,39.353,-75.000,-0.002,-0.009,32156.52,0.747
-0.007,34.423,-79.834,-0.008,-0.006,266575.87,0.753
-0.009,30.294,-100.000,-0.012,-0.004,266830.72000000003,0.758
-0.010,30.294,-83.362,-0.008,-0.003,104248.8,0.763
-0.011,26.627,-100.000,-0.012,-0.008,16431.5,0.768
-0.012,26.627,-100.000,-0.008,-0.005,109588.75,0.774
-0.012,35.659,-83.362,0.001,0.009,35397.19,0.779
-0.012,35.659,-83.362,0.001,0.013,17108.559999999998,0.784
-0.011,43.769,-49.870,0.007,0.015,21146.06,0.789
-0.010,38.538,-75.065,-0.002,0.010,166203.59,0.795
-0.012,30.712,-100.000,-0.014,-0.006,107368.11,0.800
-0.012,37.542,-75.065,-0.003,-0.004,16516.32,0.805
-0.012,33.939,-100.000,-0.008,-0.009,19719.3,0.811
-0.012,40.126,-50.130,0.001,-0.006,326578.53,0.816
-0.012,40.126,-50.130,0.001,0.002,49787.28,0.821
-0.011,40.126,-50.130,0.000,0.014,18742.79,0.826
-0.010,46.397,-25.195,0.007,0.010,6648.719999999999,0.832
-0.009,46.397,-25.195,0.004,0.013,54631.5,0.837
-0.009,41.372,-50.130,-0.003,-0.004,23825.140000000003,0.842
-0.008,47.496,-25.195,0.004,0.004,11102.66,0.847
-0.008,42.693,-50.130,-0.004,-0.004,27956.4,0.853
-0.007,42.693,-33.333,-0.002,-0.009,31185.589999999997,0.858
-0.006,53.626,-0.000,0.011,0.007,130875.73000000001,0.863
-0.004,53.626,-0.000,0.007,0.011,62853.14,0.868
-0.003,53.626,-0.000,0.005,0.001,13985.34,0.874
-0.002,53.626,-24.935,0.003,0.007,331348.38,0.879
-0.000,58.875,-0.000,0.009,0.011,14923.170000000002,0.884
0.001,58.875,-0.000,0.006,-0.005,16052.010000000002,0.889
0.002,58.875,-0.000,0.004,-0.004,16526.0,0.895
0.002,51.583,-33.218,-0.004,-0.009,37843.09,0.900
0.002,57.281,-0.000,0.004,0.001,9997.19,0.905
0.002,50.838,-33.218,-0.004,-0.012,49555.42,0.911
0.003,56.150,-0.000,0.004,-0.002,54923.700000000004,0.916
0.004,60.721,-0.000,0.009,0.005,16634.48,0.921
0.004,54.592,-33.218,-0.000,0.003,70928.35,0.926
0.003,49.241,-66.436,-0.007,-0.011,129119.26,0.932
0.003,49.241,-66.436,-0.004,-0.001,33711.48,0.937
0.003,54.422,-50.000,0.003,-0.000,38044.08,0.942
0.003,54.422,-50.000,0.002,-0.007,14731.72,0.947
0.003,54.422,-50.000,0.002,0.002,11267.26,0.953
0.003,54.422,-50.000,0.001,0.008,84673.09000000001,0.958
0.003,54.422,-50.000,0.001,0.005,23534.28,0.963
0.003,54.422,-50.000,0.000,-0.003,46644.89,0.968
0.002,46.946,-100.000,-0.006,-0.008,109309.25,0.974
0.002,46.946,-66.436,-0.004,-0.006,45004.549999999996,0.979
0.002,54.237,-33.218,0.004,0.003,30560.76,0.984
0.002,54.237,-33.218,0.002,0.002,11149.940000000002,0.989
0.002,54.237,-33.218,0.002,0.001,17910.670000000002,0.995
0.002,54.237,-33.218,0.001,0.007,58401.92,0.989
0.002,54.237,-33.218,0.001,0.005,23112.700000000004,0.984
0.002,54.237,-33.218,0.000,-0.003,39529.009999999995,0.979
0.002,54.237,-33.218,0.000,-0.002,26421.150000000005,0.974
0.001,44.064,-66.436,-0.006,-0.008,22923.510000000002,0.968
0.001,53.464,-33.218,0.002,0.001,25006.700000000004,0.963
-0.000,39.201,-100.000,-0.011,-0.012,102702.21,0.958
-0.000,46.873,-49.741,-0.001,-0.002,14375.33,0.953
-0.002,36.897,-100.000,-0.014,-0.014,147461.22999999998,0.947
-0.003,43.355,-66.782,-0.003,0.004,53478.54000000001,0.942
-0.003,43.355,-66.782,-0.002,-0.004,156219.0,0.937
-0.004,43.355,-66.782,-0.001,0.010,10631.19,0.932
-0.004,43.355,-66.782,-0.001,0.000,24175.71,0.926
-0.004,43.355,-66.782,-0.001,0.013,311400.95,0.921
-0.003,50.734,-33.218,0.006,0.009,143860.26,0.916
-0.003,50.734,-33.218,0.004,0.006,27829.050000000003,0.911
-0.001,57.142,-0.000,0.009,0.010,240312.55000000002,0.905
-0.001,50.121,-33.218,-0.000,0.000,93691.12000000001,0.900
-0.001,50.121,-33.218,-0.000,0.000,18304.66,0.895
-0.001,50.121,-33.218,-0.000,-0.006,47280.0,0.889
-0.001,43.393,-66.782,-0.007,-0.011,134174.46,0.884
-0.002,43.393,-66.782,-0.004,-0.013,512284.49,0.879
-0.003,37.599,-100.000,-0.009,-0.009,138032.08,0.874
-0.003,45.444,-66.782,0.000,0.000,6520.5,0.868
-0.004,40.025,-100.000,-0.006,-0.006,51606.36,0.863
-0.004,40.025,-75.065,-0.004,0.002,96537.48999999999,0.858
-0.006,35.163,-100.000,-0.009,-0.005,19046.739999999998,0.853
-0.006,35.163,-80.042,-0.006,0.003,60946.740000000005,0.847
-0.006,43.170,-50.130,0.002,0.002,40260.560000000005,0.842
-0.007,38.102,-75.065,-0.005,0.001,689670.79,0.837
-0.008,33.826,-80.042,-0.010,-0.005,352132.57999999996,0.832
-0.008,40.962,-60.083,-0.000,0.009,93095.7,0.826
-0.009,36.700,-80.042,-0.006,-0.000,89537.56,0.821
-0.008,48.288,-40.125,0.009,0.006,166399.14,0.816
-0.008,40.336,-80.042,-0.007,-0.002,22675.72,0.811
-0.009,40.336,-80.042,-0.005,0.005,15660.0,0.805
-0.008,45.537,-60.083,0.003,0.003,26893.94,0.800
-0.007,45.537,-60.083,0.002,0.009,16422.159999999996,0.795
-0.008,41.356,-80.042,-0.005,-0.013,9809.42,0.789
-0.008,41.356,-80.042,-0.003,0.004,7944.62,0.784
-0.007,46.999,-60.083,0.004,0.009,33349.19,0.779
-0.006,46.999,-33.333,0.003,-0.000,70229.37,0.774
-0.006,46.999,-33.333,0.002,-0.000,7060.5,0.768
-0.005,46.999,-33.333,0.001,0.006,3007.25,0.763
-0.005,46.999,-33.333,0.001,0.004,22174.019999999997,0.758
-0.005,41.249,-100.000,-0.006,-0.010,15310.420000000002,0.753
-0.005,41.249,-100.000,-0.004,-0.007,23416.92,0.747
-0.005,41.249,-100.000,-0.003,-0.004,13900.86,0.742
-0.005,41.249,-100.000,-0.002,-0.003,37954.600000000006,0.737
-0.005,49.551,-0.000,0.005,0.004,104.6,0.732
-0.005,37.989,-100.000,-0.009,-0.003,278159.80999999994,0.726
-0.006,37.989,-100.000,-0.006,-0.002,7841.1,0.721
-0.006,37.989,-100.000,-0.004,-0.002,18537.18,0.716
-0.007,37.989,-66.436,-0.003,-0.001,54314.880000000005,0.711
-0.008,32.790,-100.000,-0.008,-0.014,8486.6,0.705
-0.007,41.423,-66.436,0.001,0.010,16943.510000000002,0.700
-0.007,41.423,-66.436,0.001,0.007,1698.46,0.695
-0.007,41.423,-66.436,0.000,0.005,39099.78,0.689
-0.007,35.696,-100.000,-0.006,-0.003,23020.4,0.684
-0.008,35.696,-100.000,-0.004,0.004,55160.27,0.679
-0.008,35.696,-100.000,-0.003,-0.004,135678.4,0.674
-0.008,35.696,-100.000,-0.002,-0.002,64812.8,0.668
-0.008,35.696,-100.000,-0.001,-0.002,43404.399999999994,0.663
-0.008,29.792,-100.000,-0.007,-0.001,9222.939999999999,0.658
-0.008,40.407,-50.259,0.002,0.006,31242.8,0.653
-0.008,40.407,-50.259,0.001,0.004,26.0,0.647
-0.007,40.407,-50.259,0.001,0.003,6171.15,0.642
-0.008,33.989,-100.000,-0.006,-0.005,25384.370000000003,0.637
-0.008,33.989,-100.000,-0.004,0.003,37703.14,0.632
-0.007,44.258,-50.259,0.004,0.002,5534.75,0.626
-0.007,44.258,-50.259,0.003,0.001,8958.35,0.621
-0.007,37.493,-100.000,-0.005,-0.005,132258.32,0.616
-0.007,37.493,-100.000,-0.003,0.003,65995.95,0.611
-0.006,46.905,-0.000,0.004,0.008,26.0,0.605
-0.004,59.959,-0.000,0.016,0.012,308295.93000000005,0.600
-0.001,64.618,-0.000,0.017,0.014,236807.49,0.595
-0.000,57.422,-24.935,0.005,0.010,146867.75,0.589
0.000,51.273,-49.870,-0.003,-0.000,333385.65,0.584
0.000,51.273,-49.870,-0.002,-0.006,73888.21999999999,0.579
0.000,51.273,-49.870,-0.001,-0.017,6778.21,0.574
-0.000,45.169,-75.065,-0.007,-0.024,172795.08000000002,0.568
-0.000,51.400,-49.870,0.002,-0.003,44441.51,0.563
0.001,56.650,-24.935,0.007,0.011,98474.67999999998,0.558
